n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1839.3,1987.5,2164.4,2548.7,2690.3,2836.8,3019.2,3947.6,4074.2,4238.4,4432.8,4589.2,4745.1,4917.4,5084.3,5242.6,5401.6,5535.7,5719.2,NaN,5910.1,6058.8,6266,NaN,6349.1,6534.4,6692.8,6849,6955.1,NaN,7136.2,7284.8,7491.6,NaN,7570.7,7760.2,7917.6,8046.1,8222,NaN,8413.7,8574.1,8783.6,NaN,8863,9046.3,NaN,9237,9389.3,9607,NaN,9689.2,9878.9,10044,10165,10365,NaN,10557,10702,10910,NaN,10995,11173,11334,11458,11649,NaN,11842,11991
1881.5,2054.8,2225.2,2616,2763.3,2914.2,3084.3,3985.8,4142,4303.8,4483.3,4670,4829.7,5000.7,5165,5328.2,5485.9,5613.9,NaN,5847.1,6005.7,6144.7,NaN,6312.5,6407.2,6603,6773,6933.3,NaN,7077.3,7237.2,7372.8,NaN,7541.3,7627.9,7822.2,7997.8,8115.5,NaN,8350.9,8508,8659.7,NaN,8833.8,8923.6,NaN,9177.5,9330.2,9474,NaN,9656.3,9742.5,9945.8,10126,10238,NaN,10497,10640,10786,NaN,10956,11056,11237,11417,11534,NaN,11780,11937,12080
