n,n,n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1983.9,2153.2,2317.5,2478.1,2617.7,2796.9,2963.5,3131.7,3305.2,3455.1,3622.3,3778.8,3931.1,4079.7,4202.8,NaN,4385.2,4530.6,4740.6,NaN,4823,5002.4,5161.5,5315.3,5440,5622.5,NaN,5812,5959.2,6170.1,NaN,6249.1,6422.9,NaN,6612.2,6758.2,6934.2,7068.6,7177,7370,NaN,7559.9,7705.5,7915.3,NaN,7994.5,8176.1,8330.6,8477.9,8618.5,8802.7,NaN,8990.6,9143.2,9353.9,NaN,9434,9616.6,9780.1,9895.9,10093,NaN,10289,10457
2056.5,2222.7,2384.3,2545,2707.5,2871.2,3034.7,3205.4,3356.4,3539,3702.4,3864.7,4016.1,4166.8,NaN,4321.8,4480.1,4614.8,NaN,4790.9,4879.3,5070.5,5246.8,5402,5520.9,NaN,5753.2,5911.2,6045.1,NaN,6222.2,6306.4,NaN,6551.5,6709.1,6846,7008.9,7140.6,7235.8,NaN,7496.5,7646.5,7791.3,NaN,7965.9,8055.5,8240.6,8411.2,8563,8697.7,NaN,8929.7,9088,9230.6,NaN,9404,9493.6,9687.5,9860.1,9956.9,NaN,10225,10381,10543
