n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e
3562.9,3711.1,3864.4,4016.5,4172.2,4318.8,4467.4,4620.3,4746.9,4931.9,5095.9,5195.2,NaN,5377.1,5522.6,5721.2,NaN,5798.8,5969.9,NaN,6153.4,6302.8,6504.2,NaN,6580.4,6748.5,NaN,6934,7083.4,7285.7,NaN,7360.2,7541.5,NaN,7726.2,7874.7,8085.2,8214.1,8321.8,8490.9,NaN,8679.2,8829.4,9036.3,NaN,9114.1,9295.7,9464.8,9628.2,9754.2,9936.5,NaN,10125,10275
3614.1,3765.1,3942.8,4092.9,4251.7,4400,4549.9,4703.3,4849.8,5014.8,5173.4,NaN,5314.5,5461.3,5601,NaN,5767.5,5843.6,NaN,6088.3,6244,6381.3,NaN,6548.6,6636,NaN,6871.1,7025.9,7161.8,NaN,7329.5,7410.6,NaN,7664.3,7817.3,7953.8,8149.9,8288,8373.5,NaN,8615.4,8748.4,8908.2,NaN,9083.9,9167.7,9353.5,9549.5,9709.2,9820.5,NaN,10059,10219,10355
