n,n,n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,n,n,n,f,a,b,l,e
3354.1,3506.1,3671.4,3841,4170.9,4340.7,4517.4,4665,4837.4,4999.2,5153.3,5321,5481.2,5641.2,5735.4,NaN,5923.7,6071.8,6277.8,NaN,6356.3,6547.3,6688.8,6867.5,6967.2,NaN,7141.6,7296.6,7504.7,NaN,7583.1,7760,7912.4,8049.8,8223.2,NaN,8402.8,8558,8754.6,NaN,8843.2,9013.8,NaN,9193.5,9346,9491.5,9637.5,9822.9,9986.4,10106,10297,NaN,10479,10634,10827,NaN,10924,11097,NaN,11278,11431,11667,11780,11884,12081,NaN,12261,12414,12625,NaN,12702,12903,13070,13184,13392,NaN,13572,13730,14056,14216,14372,14494,14689,NaN,14869,15025,15226,NaN,15317,15526,15696,15831,16052,NaN,16232,16395,16631,16754,16861,17385,17539,17726,17846,18038,NaN,18230,18386
3397.7,3572.4,3740.7,4083.6,4242.4,4419.7,4569,4748.2,4916.8,5079.4,5236.8,5407.1,5564.3,5715.5,NaN,5861.3,6015.5,6153.4,NaN,6323.7,6415,6607.8,6790.2,6943.6,NaN,7091.3,7249.6,7385.5,NaN,7551.3,7634.5,7829.2,7992.2,8130.3,NaN,8356.7,8513.6,8642,NaN,8812.5,8904.4,NaN,9143.9,9307.9,9434.4,9602.4,9718.6,9891.7,10067,10190,NaN,10428,10585,10733,NaN,10889,10978,NaN,11232,11388,11515,11744,11852,11950,NaN,12211,12372,12498,NaN,12671,12760,12973,13147,13247,NaN,13526,13685,13815,14124,14297,14454,14581,NaN,14823,14982,15108,NaN,15282,15373,15592,15781,15914,NaN,16186,16342,16480,16711,16829,16925,17451,17622,17808,17928,NaN,18169,18339,18470
