n,n,n,n,n,n,n,n,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e
2997.9,3184.1,3636.5,3791.2,3972.8,4190.6,4342.3,4499.2,4668.4,4833.9,5006,5138.8,5320.8,NaN,5512.6,5671.1,5884.7,NaN,5963.4,6141.8,NaN,6328.1,6487.4,6695.8,NaN,6776.5,6960.4,7127.1,7280.5,7448.4,7580.6,7763.7,NaN,7948.4,8118.2,8369.4,NaN,8447.7,8634.6,NaN,8823.4,8982.2,9192.8,NaN,9272.3,9447.1,9613.3,9776.8,9904.5,10101,NaN,10284,10441
3059,3259.3,3701.8,3877.7,4050.4,4239.4,4422.5,4579.9,4752.9,4918.7,5093.3,5220.5,NaN,5454.2,5616.4,5758,NaN,5932.9,6020.3,NaN,6277.5,6436.3,6571.8,NaN,6744.7,6837.2,7030.2,7208.9,7369.6,7532.8,7665.3,NaN,7899.9,8058.9,8205.1,NaN,8415.3,8505,NaN,8769.1,8926.9,9065.4,NaN,9239.1,9329.7,9517.1,9694.5,9859.7,9986.2,NaN,10234,10394,10524
