l,h,e,h,e,h,h,h,h,l,f,f,c,g,j,d,d,c,b,h,l,k,f,c,g,j,d,d,c,b,k,f,f,c,b,h,h,f,c,b,h,h,l,k,f,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,h,h,h,h,l,k,f,f,c,b,k,h,j,d,d,c,b,h,h,h,j,d,d,c,b,k,h,h,f,f,c,g,j,d,d,c,b,k,f,f,f,c,b,k,h,h,j,d,d,c,b,h,h,j,d,d,c,b,k,h,h,h,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b
1934.2,2154.6,2293.2,2475.5,2623.6,2840.8,3039.1,3224.9,3382.6,3554.6,3865.7,3984.7,4084.3,4195.4,4280.2,4378.4,4495.8,4602,4680.3,4835.7,5009.7,5212.8,5357.8,5460,5569.9,5652,5753.5,5868.2,5978.6,6057.2,6206.3,6353.1,6473.3,6571.8,6648,6805,6970.3,7102.9,7208.7,7285.8,8074.5,8228.5,8403.5,8618,8760.5,8879,8976.9,9058,9173.9,9313.2,9431.4,9536.9,9616.1,9737.5,9924.1,10075,10194,10293,10408,10518,10593,10836,11020,11174,11340,11489,11649,11836,11979,12099,12208,12290,12422,12962,13085,13181,13299,13411,13488,13984,14140,14295,14401,14499,14617,14725,14805,14937,15110,15289,15420,15536,15639,15751,15837,15937,16055,16169,16241,16379,16530,16663,16782,16883,16967,17095,17315,17478,17609,17709,17827,17943,18021,18348,18505,18648,18747,18872,18981,19057,19465,19684,19912,20089,20252,20392,20509,20590,20727,20879,21008,21118,21197,21327,21543,21914,22042,22138,22256,22370,22451
2060.6,2187.5,2352.7,2506,2687.2,2905.1,3079.4,3263.8,3422.1,3762.3,3937.2,4054.3,4143.7,4243.7,4329.3,4477,4581.1,4669,4732.4,4881.8,5153.7,5286.2,5429.1,5523.2,5619.4,5703.2,5847.8,5956.4,6038.8,6099.6,6278.1,6423.5,6547.1,6635.3,6696.9,6852.3,7014.7,7178.2,7272.6,7331.7,8115.8,8271.5,8553.8,8693.1,8834.6,8950.2,9039.7,9100.3,9246.7,9384.4,9505.9,9600.8,9666.4,9810.7,9965.8,10119,10248,10389,10492,10579,10645,10907,11066,11221,11388,11534,11771,11910,12056,12174,12274,12340,12496,12996,13132,13277,13386,13469,13530,14019,14180,14328,14447,14592,14700,14786,14851,15004,15146,15332,15496,15609,15698,15788,15884,16033,16138,16226,16294,16449,16603,16737,16854,16944,17009,17136,17353,17508,17657,17809,17912,17998,18067,18387,18546,18695,18854,18953,19042,19100,19542,19730,19954,20133,20304,20468,20577,20646,20803,20956,21083,21183,21251,21403,21591,21964,22091,22237,22342,22434,22497
