h,h,e,e,h,e,e,f,c,g,j,d,d,c,b,h,l,k,f,c,g,j,d,d,c,b,k,h,f,f,c,g,j,d,d,c,b,k,h,h,j,d,c,b,k,f,f,c,g,j,c,b,k,f,h,h,j,d,d,c,b,k,f,c,h,h,h,h,j,f,c,g,j,d,d,c,b,k,h,l,k,f,f,c,g,j,d,d,c,b,h,h,h,h,j,d,d,c,b,k,f,f,h,h,l,k,f,f,c,b,k,f,c,g,j,d,d,c,b,h,h,h,h,h,h,j,d,d,c,b,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,h,h,h,j,d,d,c,b,h,h,h,h,f,c,g,j,d,d,c,b
1980.8,2350.8,2544.4,2728.4,2893.7,3060.6,3246.7,3387,3489.2,3602.2,3687.5,3787.7,3905.6,4014.3,4089.7,4247.6,4435.4,4621,4784.9,4887.4,4997.6,5082.9,5182.5,5296.9,5406.3,5484.1,5684.1,5877.8,6021.9,6141.2,6246.8,6359.7,6442.2,6542.4,6662.1,6772.3,6852.8,7043,7269.4,7430,7558.5,7657.5,7774.7,7850.9,8027.4,8176.9,8295.3,8393.7,8508.7,8596.2,8696.1,8773.1,8911.1,9061.5,9485.7,9643.5,9770.8,9869.4,9985.7,10096,10176,10305,10456,10572,10971,11130,11296,11448,11567,11709,11814,11927,12011,12115,12232,12343,12422,12645,12848,13031,13278,13434,13553,13661,13773,13860,13963,14079,14187,14263,14962,15122,15294,15449,15561,15657,15772,15884,15964,16110,16257,16380,16820,16970,17145,17333,17479,17600,17713,17793,17922,18069,18174,18288,18373,18474,18588,18700,18776,19251,19406,19738,19897,20045,20216,20321,20420,20540,20651,20732,21145,21288,21405,21506,21624,21738,21820,21971,22115,22232,22340,22457,22546,22647,22763,22873,22954,23090,23704,23874,24056,24216,24389,24509,24610,24729,24839,24919,25344,25517,25760,25920,26050,26160,26271,26361,26466,26589,26702,26779
2018.7,2386.6,2603.8,2787.2,2940.3,3121.9,3307.6,3458.5,3554.8,3655.4,3737.8,3885.6,3991.2,4076.6,4143.3,4292.4,4558.8,4696.2,4859.7,4953,5049.2,5134.9,5279.3,5383.8,5471.6,5535.6,5760.2,5924.4,6097,6216.9,6311.7,6412.6,6497.8,6637.4,6749.4,6835.2,6900,7115.9,7312.8,7476,7609,7752.8,7841.6,7909,8101.3,8251,8369.9,8458.7,8562.6,8646.3,8757.2,8825.6,8984.4,9135.7,9529.7,9693.9,9821,9961.2,10071,10161,10225,10382,10531,10626,11019,11180,11344,11497,11617,11784,11880,11981,12061,12207,12318,12410,12476,12723,12895,13184,13353,13506,13627,13726,13827,13911,14061,14164,14254,14320,15002,15169,15348,15497,15610,15752,15859,15950,16014,16186,16337,16457,16857,17004,17272,17401,17548,17674,17773,17837,17990,18141,18236,18334,18423,18569,18679,18761,18828,19296,19451,19771,19937,20087,20255,20370,20520,20625,20712,20777,21187,21336,21457,21599,21711,21798,21861,22039,22188,22310,22406,22512,22597,22743,22848,22937,23000,23167,23745,23919,24101,24262,24438,24559,24705,24814,24904,24969,25384,25561,25801,25963,26126,26225,26326,26412,26564,26678,26766,26833
