e,h,f,c,b,k,f,f,f,c,b,k,h,h,l,k,f,f,c,g,j,d,d,c,b,k,h,f,f,c,g,j,d,d,c,b,h,k,d,d,c,b
1815.6,1981,2148.6,2264.9,2338.9,2472.2,2618.8,2738.1,2859.5,2965.4,3047.6,3203.8,3400.2,3572.8,3790.9,3977.6,4134.8,4276.8,4380.9,4501.2,4590.3,4693.2,4816.7,4934.9,5009.9,5260.5,5469,5629.5,5766.4,5877.9,5999.1,6087.4,6193.5,6320.2,6429.8,6513.9,6875.4,7010.8,7110.4,7231,7347,7429.2
1861.8,2038.7,2219,2316.9,2384.3,2537.8,2689.3,2813.6,2934.3,3030.6,3099.1,3278.2,3445.7,3619,3900.2,4051.4,4210,4351.6,4443.3,4551.1,4640.4,4795.2,4903.5,4993.7,5058.9,5328.1,5512,5706.7,5842.6,5939.5,6053.3,6141.3,6297.2,6406.4,6500.3,6568.1,6919.5,7057.2,7207.6,7316.2,7409.5,7472.4
