h,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,f,f,c,b,k,f,f,f,c,g,j,d,d,c,b,h,h,f,f,c,g,j,d,d,c,b
1979.8,2199.2,2449.6,2620.1,2743,2847.6,2925.7,3080.2,3241.9,3363.4,3469.8,3588.6,3675.6,3777.1,3900,4019.2,4095.8,4360.4,4543.3,4713.3,4853.8,4977,5094,5176.3,5324.6,5486,5606.7,5745.2,5852.6,5972.1,6061.6,6165.2,6286.1,6393.6,6476.8,6962.1,7125.8,7271.7,7398.7,7506.3,7623.3,7715.2,7819.5,7945.7,8058.3,8134.7
2013.9,2244.5,2498.3,2654.1,2815.8,2911.7,2976.7,3156.2,3314.6,3440.8,3537.1,3640.5,3728.4,3876,3985.9,4077.8,4144.3,4432.4,4586.7,4755.7,4928.7,5053.2,5156.3,5222.9,5395.3,5559.3,5683.8,5819.9,5921,6028.9,6115.9,6264.6,6372.6,6457,6524.3,6994.9,7166.3,7344.5,7474.3,7567.4,7678.5,7766.8,7920.9,8032.2,8124.2,8185.9
