l,e,e,e,h,h,e,h,h,h,l,f,f,c,b,k,f,f,c,b,k,h,h,h,l,k,f,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,h,h,c,g,j,d,d,c,b,k,h,l,k,f,f,c,g,j,d,d,h,h,h,h,l,k,f,c,g,j,d,d,c,b,k,f,c,b,k,k,f,c,g,j,d,d,c,b,h,h,h,h,h,j,d,d,c,b
1781.7,2116.2,2453,2639.6,2829.2,3228.3,3418.9,3650.7,3849.4,4044,4220.9,4525.1,4640.4,4740.8,4820.5,4958.1,5099.8,5217.7,5319,5397.8,5533.5,5719.4,5868,6033.2,6208.6,6434.4,6580.9,6699.4,6821.7,6921.4,7031.4,7116.2,7216.8,7330.1,7438.7,7517.8,7648.3,7791.2,7917.1,8018.4,8137.7,8217.5,8317.7,8432.5,8543.7,8618.8,8892.6,9054.6,9177.4,9275.1,9349.8,9475.9,9626.9,9745.4,9847.7,9928.5,10060,10249,10424,10543,10640,10756,10865,10944,11101,11309,11476,11613,11720,11805,11907,12024,12137,12212,12594,12777,12965,13158,13304,13418,13517,13632,13715,13815,13937,14490,14676,15058,15225,15390,15590,15729,15839,15952,16039,16144,16264,16370,16448,16592,16752,16859,16938,17070,17387,17539,17649,17761,17848,17950,18073,18183,18259,18807,18961,19153,19318,19498,19625,19727,19849,19961,20043
1877.4,2205.5,2511,2694.5,2876,3273.7,3471.7,3694.7,3890.2,4088.7,4426.7,4596.8,4710.4,4805.8,4869.6,5026,5171.8,5291,5385.8,5452.7,5610.2,5762.8,5913.3,6082.1,6375.4,6509.3,6655.2,6771.4,6894.3,6988.2,7082.9,7167.1,7311.8,7407.9,7500.3,7564.8,7719.8,7865.8,7987.8,8082.7,8180.4,8264.5,8407.9,8513.6,8606.3,8671.8,8936.2,9103.4,9226,9336.6,9405.8,9551.2,9701.7,9818.4,9911,9973.1,10129,10285,10460,10590,10735,10844,10930,10994,11176,11352,11517,11680,11773,11856,11998,12110,12193,12253,12661,12812,13104,13225,13377,13491,13578,13673,13763,13908,14019,14527,14716,15108,15268,15532,15666,15805,15905,16003,16093,16239,16348,16436,16498,16666,16826,16928,16995,17147,17461,17613,17711,17814,17900,18049,18158,18246,18306,18851,19006,19196,19365,19544,19680,19833,19939,20022,20083
