e,h,l,h,h,h,h,e,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,h
5934.7,6077.8,6250.3,6822.9,7037.8,7243.8,7412.9,7772.8,7943.5,8077.2,8175.4,8254.5,8416.3,8567.5,8688.2,8799.4,8879.1,8999.7,9201,9359,9484.4,9580.4,9698.1,9804.3,9877.8,10206
5979.7,6140.4,6412.4,6885.5,7068.9,7289.3,7446,7831.4,7974.5,8147.2,8239.1,8298.7,8489.6,8639.4,8760.6,8862.7,8927,9073.6,9245.4,9407.8,9535,9676.3,9783.1,9868.2,9935.8,10260
