h,e,h,f,f,f,c,b,k,f,c,g,j,c,b,k,h,h,c,b,k,f,f,c,g,j,d,d,c,b
1984.2,2312.4,2450.7,2590.2,2706.2,2816.8,2925.1,3009.1,3137.1,3282.7,3389.9,3500.9,3591,3693.9,3772.4,3922.7,4159.9,4330.2,4612.8,4694.5,4830.7,4976.9,5101.8,5217.8,5333.5,5419.2,5521.4,5639.6,5752.6,5831.7
2028.2,2359.6,2487.5,2664.6,2783,2895.8,2963,3049.4,3200.8,3356.2,3448.9,3543.2,3639.2,3750.9,3813.8,3989.1,4205.3,4374,4676.1,4744.2,4898.8,5048.9,5175.7,5278.4,5385.3,5469.6,5621.8,5724.9,5816.8,5882.4
