e,h,l,h,e,l,h,e,h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,l,k,f,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,h,h,h,e,c,b,k,f,f,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,h,h,j,d,d,c,b,h,h,l,k,f,c,g,j,d,d,c,b
1234,1394.3,1667.9,1862.4,2028.8,2215.5,2425.7,2582.3,2862.6,3073,3242.5,3395.6,3495.2,3576.8,3732.4,3883.8,4003.8,4119.3,4230.4,4322.2,4422.1,4540.9,4650.6,4728.5,5131.2,5305.2,5486.9,5638.6,5774.4,5903.2,6009.3,6124.2,6211.9,6316,6391.9,6533.6,6740.3,6909.6,7028.9,7127.1,7247.8,7360.1,7440.2,8038.2,8199.5,8357.3,8517.2,8637.2,8717.9,8840.8,8990.8,9113.4,9234.3,9352.3,9456,9568.3,9656.8,9760.8,9881.9,9991.6,10071,10207,10410,10571,10687,10786,10906,11017,11097,11298,11500,11695,11818,11916,12037,12147,12227,12545,12695,12875,13045,13198,13309,13421,13514,13616,13739,13850,13928
1296.9,1449.4,1759.3,1920.6,2067.4,2334.6,2469.6,2644,2905.8,3117.7,3290.1,3465.2,3557.4,3619.9,3802.9,3955.7,4076.9,4182.3,4282.7,4370.9,4517.8,4626.2,4711.5,4779.3,5174.3,5420.4,5557.4,5709.3,5847.8,5978.3,6070.8,6175.1,6260.6,6373.5,6439.2,6606,6784.6,6957.7,7075.6,7229.3,7329.6,7423.2,7486.8,8080.8,8244.2,8403.2,8570.4,8698.3,8761.1,8914.2,9065.7,9188.7,9310.3,9425.3,9523.3,9623.8,9707.9,9857.7,9966.9,10062,10129,10287,10463,10622,10746,10882,10999,11081,11148,11371,11548,11743,11868,12021,12128,12212,12276,12584,12739,12979,13120,13273,13374,13476,13564,13721,13828,13916,13987
