h,h,h,h,f,c,b,k,f,c,g,j,d,d,c,b,k,h,h,f,c,g,j,d,d,c,b,k,f,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,h,l,k,f,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,h,h,l,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b
1980.8,2549.5,2697.4,3042.3,3204.4,3313.2,3391.8,3568.8,3731.5,3838.2,3951.9,4037.2,4139.8,4261.2,4365.6,4441,4678.2,4873.3,5040.1,5176,5283.1,5399,5486,5588.7,5702.3,5814.9,5892,6062.1,6222.2,6340,6477.3,6580.7,6657.9,6787.8,6980.6,7140.7,7257.2,7357.3,7474,7586.2,7662.9,7824.5,7985.7,8108.3,8228.3,8335.1,8452.8,8541.6,8644.9,8765.1,8875.9,8956.1,9101,9313.4,9485.2,9601.9,9700.5,9822.8,9932.1,10009,10236,10427,10632,10808,10979,11117,11237,11355,11470,11559,11660,11738,11885,12090,12262,12383,12483,12609,12723,12804,13731,13886,14071,14279,14429,14551,14666,14777,14868,14972,15095,15209,15291,15428,15600,15723,15837,15951,16040,16146,16224,16372,16755,16931,17046,17147,17267,17380,17465,17638,17800,17929,18042,18169,18260,18366,18443,18737,18935,19224,19348,19450,19572,19688,19770
2029.3,2596.2,2747,3093.4,3274.3,3381.6,3449.5,3647.1,3805.1,3901.8,4003.9,4092.4,4239.8,4346,4433.2,4499.4,4755.7,4920.2,5086.1,5249.2,5350.2,5455,5544.6,5688.1,5792.1,5877.4,5947.7,6140.8,6297.1,6416.2,6551.7,6647.4,6717.5,6869.1,7032.8,7190.8,7317.5,7455.2,7562.6,7651.1,7721.3,7902.4,8059.8,8182.7,8306.1,8403.3,8508.2,8592.7,8745,8848.1,8939.1,9001.9,9172.7,9349.8,9522,9651.4,9802.1,9909.4,9999,10063,10313,10474,10750,10886,11057,11190,11316,11419,11524,11611,11720,11786,11962,12138,12309,12436,12586,12699,12791,12854,13776,13933,14203,14354,14507,14628,14727,14834,14919,15071,15179,15275,15341,15500,15675,15800,15902,16008,16095,16210,16279,16446,16808,16978,17097,17246,17357,17446,17511,17696,17874,18005,18108,18224,18312,18426,18495,18815,18983,19265,19399,19549,19655,19753,19817
