h,h,h,h,h,e,h,f,c,g,j,d,d,c,b
1983.4,2222.5,2417,2572,2746.7,2935.3,3062.1,3216.2,3322.5,3435.7,3523.5,3626.8,3750.1,3862.1,3938.3
2020.8,2263.5,2458.4,2612,2790.8,2985.6,3113.3,3292.9,3386.6,3487.8,3572.9,3731.1,3838.6,3925.2,3989.8
