h,h,h,h,h,l,k,f,c,g,j,d,d,c,b,h,f,c,b,k,f,f,c,g,j,d,d,c,b
1963.8,2174.3,2380.6,2568.1,2715.6,2922.3,3132.1,3276.3,3382.9,3497.1,3586,3688.7,3807.8,3921.5,4001.2,4635.6,4777,4892.4,4974.5,5103.7,5248.9,5380.1,5484.4,5597.6,5689.1,5790.8,5913.1,6031.4,6108.4
2033.3,2212.2,2416.4,2609.1,2760.8,3062.2,3200.2,3350,3447.3,3551.6,3636.7,3791.6,3899.2,3985.3,4051.5,4672.1,4849.8,4954.3,5018.3,5172.8,5324.3,5462.5,5545.2,5641.2,5736.4,5892.2,6004.7,6087.5,6151.1
