l,k,f,c,b,k,f,c,g,j,d,d,c,b,h,h,h,e,c,b,k,f
2187.8,2383.1,2525.3,2632.2,2711.8,2849.5,2989,3095.1,3213.3,3300.8,3404.5,3518.9,3629.4,3705.5,4281.5,4448.6,4621.4,4810.6,4894,4976.7,5102.2,5246.4
2308.3,2449,2598.1,2690.3,2752.2,2917.3,3061.1,3155.9,3265.2,3351.7,3496.1,3604,3693.6,3758.8,4324.4,4490.5,4666.7,4842.8,4960,5028.6,5176,5322.2
