l,h,l,h,e,h,e,h,h,e,h,e,h,e,c,b,h,h,j,d,d,c,b,h,h,h,j,d,d,d,c,b,k,f,f,h,h,l,k,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,h,c,b,k,f,c,b,k,h,l,k,f,f,l,k,f,c,g,j,d,d,c,b,h,l,c,b,k,f,h,h,l,f,c,g,j,d,d,c,b,h,h,h,k,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b
1963.4,2171.4,2311.6,2511.1,2670.3,2834.2,2991.8,3318.2,3798.5,3969.8,4137.2,4316.8,4482.1,4664,4777.1,4846.3,5050,5242.4,5367.5,5463,5583,5687.6,5766.6,5979.7,6141.8,6303.2,6433.7,6531.2,6648.3,6761.7,6872.8,6951.3,7091.3,7238.7,7354,7644.9,7800.2,7968.8,8149.9,8294.1,8395.6,8508.8,8593.9,8693.9,8812.6,8921.2,8999.8,9162,9313.8,9432,9537.5,9614.5,9736.2,9935.3,10880,11064,11199,11281,11411,11552,11670,11761,11907,12094,12289,12471,12609,12721,12891,13086,13237,13347,13459,13544,13643,13763,13871,13947,14335,14511,14632,14709,14830,14978,15608,15766,15959,16218,16322,16423,16521,16622,16742,16850,16929,17899,18087,18268,18400,18495,18611,18721,18798,18942,19086,19202,19305,19386,19519,19671,19792,19893,20009,20095,20198,20316,20430,20505
2070,2208.9,2417.2,2548,2737.4,2873.4,3050,3356.6,3837.8,4021,4180.3,4374.8,4515,4711.5,4834,4900.5,5099.8,5279.4,5416.9,5562.6,5668.2,5747.7,5811.5,6023.2,6185.1,6339.9,6483.5,6630.2,6739.8,6845.1,6933.1,6997.3,7162.6,7312.1,7430,7687.6,7844,8099.1,8221.1,8369,8460.1,8561.8,8648,8784.7,8892.9,8983.5,9048.8,9234,9386.3,9505.5,9600.5,9665,9810.3,9980.2,10921,11096,11268,11335,11483,11625,11738,11807,11979,12141,12410,12546,12683,12792,13038,13163,13313,13414,13511,13595,13741,13850,13937,14001,14373,14567,14696,14765,14904,15055,15642,15811,16104,16292,16383,16476,16571,16718,16826,16912,16972,17937,18137,18310,18445,18592,18696,18778,18838,19008,19156,19274,19367,19430,19589,19743,19864,19957,20061,20145,20291,20402,20490,20559
