h,h,l,k,f,f,c,b,k,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,f,c,g,j,c,b,k,h,l,k,f,f,c,b,k,h,h,f,c,g,j,d,d,c,b,h,h,h,h,j,d,d,c,b,k,h,l,k,f,c,g,j,d,d,c,b
1996.9,2161.4,2331.7,2535.6,2679.2,2798,2900.7,2981.1,3108.2,3249.6,3356.8,3469.3,3556,3655.6,3775,3881.8,3961.9,4093.3,4243.2,4370.8,4486.4,4567.4,4696.1,4881.7,5059.1,5181.2,5288.3,5402.4,5488.9,5590.7,5708.8,5825.6,5900.4,6073.2,6220.1,6347.9,6453.4,6533.5,6667.8,6850.6,7052.1,7188,7297.9,7408.1,7498.9,7605.2,7682.7,7835.7,8042.7,8241.6,8427.3,8584.5,8713.8,8821.6,8903.2,9090.4,9293.4,9451.7,9590.5,9699.1,9812.3,9902.3,10005,10125,10238,10319,10975,11138,11324,11484,11609,11707,11827,11943,12024,12259,12446,12652,12860,13011,13124,13237,13326,13431,13558,13669,13748
2027.7,2191.8,2451.9,2606.3,2751.5,2869.8,2965.2,3026.7,3180.2,3325.3,3421.3,3520.8,3603.7,3752.6,3855,3944.4,4010.8,4161.9,4312.4,4440.7,4547.7,4612.9,4765.1,4928.5,5103.6,5252.9,5353.1,5452.8,5544.9,5685.4,5790.4,5879.4,5944.8,6139.4,6293.3,6419.8,6514.7,6577.2,6733,6895.5,7094.1,7262,7363.1,7461.4,7545.7,7659.5,7726,7904.6,8088.4,8331.1,8495.2,8654.8,8785,8882.8,8957.7,9163.9,9340.7,9497.4,9663.8,9758.1,9844.1,9951,10103,10209,10300,10362,11013,11184,11362,11528,11658,11811,11919,12013,12081,12336,12498,12781,12937,13088,13188,13290,13376,13524,13639,13734,13799
