h,h,h,e,h,f,c,b,k,f
1980.1,2148.8,2312.6,2508.3,2653.1,2791.8,2904.3,2986.6,3110,3258.8
2035.2,2183.9,2343.8,2553.2,2694.2,2866.5,2965.8,3033.6,3177.9,3330.1
