h,h,h,f,f,c,b,k,f,f,c,b,h,h,l,k,f,c,g,j,d,d,c,b,k,k,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,h,h,h,j,d,d,c,b,h,h,h,h,j,d,d,c,b,h,l,k,f,f,c,g,j,d,c,b,k,f,f,c,g,j,d,d,c,b,h,h,h,j,d,d,c,b,h,h,j,d,d,c,b,h,h,j,d,d,c,b,h,h,j,h,h,l,k,f,f,c,g,j,d,d,c,b,h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h
1975.2,2146.2,2318.6,2442.8,2557.4,2665.7,2747.4,2876,3020.1,3136.1,3241.1,3324.2,3782.9,3938.5,4112.9,4302.9,4452.9,4556.1,4667.2,4752.7,4852.2,4970.8,5079.8,5157.1,5290.6,5603.4,5752.7,5861.6,5946,6048,6165.6,6277.5,6354.8,6520,6669.2,6795.1,6897,7014.8,7099.7,7205.4,7320.3,7431.1,7510.6,7644.6,7850.2,8029.5,8352.8,8617.4,8757.7,8884,8980.3,9097.7,9211,9289.8,9825.5,9994.3,10142,10314,10429,10531,10648,10758,10838,11225,11392,11625,11772,11894,11998,12106,12203,12304,12419,12501,12665,12805,12927,13034,13148,13237,13347,13464,13575,13656,14310,14486,14680,14819,14917,15039,15151,15231,16215,16386,16523,16618,16736,16849,16930,17451,17613,17746,17844,17963,18078,18159,18689,18853,18975,19478,19637,19872,20062,20221,20338,20442,20559,20647,20752,20876,20990,21069,21791,21975,22138,22272,22386,22469,22620,22772,22896,22998,23108,23206,23306,23425,23537,23616,24172,24351
2013.6,2186.3,2359.2,2512.8,2629.4,2727.6,2788.9,2947.5,3093.7,3211.5,3308.6,3377.2,3827.5,3986.7,4248,4379.1,4528.4,4621.3,4721.7,4805.8,4953.1,5058.9,5143.8,5215.1,5368.1,5679.7,5820,5915.8,5996.8,6150.2,6256.5,6343.8,6410.6,6596.4,6744.4,6867.2,6965.8,7067.8,7150.5,7299.3,7407.1,7497.9,7564,7720.7,7895.5,8073,8400.4,8665.1,8803.5,8940.1,9078.4,9191.2,9276.8,9342,9859.3,10037,10189,10357,10478,10627,10733,10823,10883,11266,11550,11697,11845,11968,12058,12171,12252,12391,12485,12548,12734,12878,12999,13097,13203,13288,13444,13549,13637,13703,14347,14522,14724,14868,15017,15124,15215,15278,16254,16429,16566,16713,16817,16913,16973,17487,17655,17795,17941,18054,18142,18205,18727,18896,19023,19515,19673,19995,20129,20294,20412,20504,20607,20696,20850,20962,21055,21119,21853,22013,22178,22343,22448,22510,22691,22845,22966,23062,23171,23256,23402,23513,23598,23663,24207,24390
