e,h,e,h,e,h,e,h,f,l,k,f,f,f,c,g,j,d,d,c,b,h,h,l,k,f,c,g,j,d,d,c,b,k,f,f,c,h,h,j,d,d,c,b,k,f,h,k,h,l,k,f,f,c,b,k,h,h,j,d,d,c,b,k,h,h,j,d,d,c,b,h,f,f,f,c,b,k,h,h,k,d,d,c,b,k,h,h,j,d,d,c,b,k
3260.2,3437,3616.7,3772.4,3955.8,4144.6,4347.3,4508,4683.8,4829.6,5056.5,5217.9,5331.2,5449.3,5551.4,5662.1,5747.1,5845.5,5962.9,6071.2,6148.4,6310.4,6463.1,6643.6,6841.4,6990.5,7091.2,7201.3,7284.9,7386,7502.2,7611.7,7688.4,7819.2,7967.1,8089.8,8193.8,8463.7,8623.8,8734.2,8829.5,8949,9060.6,9139.3,9270.5,9426.5,9695.1,9912.8,10087,10261,10462,10603,10724,10826,10901,11029,11217,11376,11483,11581,11700,11812,11892,12024,12220,12376,12489,12587,12703,12809,12887,13210,13354,13471,13602,13707,13785,13910,14110,14260,14384,14480,14599,14705,14786,15047,15236,15414,15541,15638,15758,15865,15946,16140
3357.3,3493.5,3697.4,3831.8,4005.1,4182.8,4397.8,4551.5,4739.6,4975,5132.7,5288.3,5407.7,5524.8,5616.8,5716.1,5801.7,5944.1,6048.9,6133.1,6195.2,6351.6,6510.3,6773.5,6913,7060.3,7157.4,7253.8,7342.2,7478.1,7591.2,7673.5,7733.5,7889.2,8039.9,8162.4,8258.2,8504.6,8668,8784.4,8925.8,9033.2,9123.2,9185.5,9340.9,9494.9,9738.8,9986.5,10133,10396,10536,10677,10797,10894,10961,11109,11264,11425,11541,11679,11791,11876,11939,12097,12268,12422,12538,12684,12783,12875,12946,13259,13427,13546,13676,13774,13844,13985,14156,14304,14432,14580,14686,14771,14835,15121,15283,15462,15592,15738,15840,15932,16002,16215
