h,h,l,f,c,b,h,h,l,k,f,c,b,k,f,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,h,l,k,f,f,c,g,j,d,d,c,b,k,h,h,h,l,k,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,h,j,d,d,c,b,h,e,h,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b
1983.1,2353.8,2632.1,2922.2,3023.6,3100.7,3271.2,3446.3,3629,3834.6,3990.7,4093.7,4173.7,4309.1,4459.1,4581.6,4700.3,4797.7,4880.1,5015.4,5222.8,5383.2,5496.4,5592.3,5709.1,5819.2,5898,6054.9,6216.2,6336.5,6438,6552.2,6638.8,6741.7,6813.2,6947.6,7093.5,7210.6,7313.1,7428.6,7515,7615,7736,7843.1,7923.8,8100.2,8244,8356.4,8440.4,8541.7,8658.9,8766.2,8844.1,9173.5,9342.3,9455.2,9554.3,9671.6,9782.1,9864.1,9997.9,10223,10402,10589,10738,10858,10962,11077,11165,11268,11388,11499,11580,11848,12051,12250,12414,12590,12798,12947,13057,13173,13258,13363,13437,13584,13727,13852,13955,14075,14164,14266,14342,14497,14835,14960,15055,15172,15286,15368,16225,16547,16688,16816,16936,17041,17153,17241,17342,17459,17577,17651,17786,17956,18078,18182,18264,18409,18605,18787,18913,19012,19134,19248,19322
2021.7,2393.7,2828,2993.7,3092.4,3157.7,3317.8,3494.8,3765,3905.6,4061,4158.8,4216.8,4382.3,4529.4,4653.8,4768,4862.6,4925.3,5091,5268.5,5429.4,5553,5689.5,5796.9,5879.7,5945,6125.9,6288.5,6409.7,6502.2,6604.9,6688.3,6804.5,6868.6,7022.8,7167.9,7285.8,7379.6,7481.4,7570.5,7712.9,7820.1,7908.9,7969.1,8133,8308.9,8408.4,8490.9,8632.5,8747.8,8831.9,8895.7,9214.6,9388.1,9504.9,9650.3,9757,9848,9909.9,10071,10271,10534,10662,10814,10936,11028,11133,11222,11369,11478,11564,11623,11920,12096,12293,12458,12717,12869,13024,13123,13226,13312,13424,13495,13660,13803,13927,14017,14127,14213,14325,14392,14572,14885,15014,15152,15258,15351,15416,16255,16596,16732,16891,17029,17102,17195,17289,17441,17548,17631,17691,17854,18030,18156,18242,18313,18478,18649,18828,18958,19109,19221,19308,19372
