h,h,h,e,e,e,h,f,c,g,j,d,d,c,b,k,h,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,h,h,h,l,k,f,c,b,k,h,h,j,d,d,c,b,k,h,h,j,d,d,c,b,k,h,e
1992.5,2355.5,2548.6,2731.5,2902.1,3104.8,3258.5,3400.2,3504.4,3615.3,3701.5,3802.7,3915.6,4022.8,4098.4,4259.3,4449.6,4603.8,4756.5,4871.1,4966.9,5082.8,5194,5273.5,5403.4,5556.7,5680.3,5782.2,5893.4,5980.5,6079.8,6194.7,6305.7,6384.1,6522.6,6673.3,6793.4,6893.3,6970.3,7159.8,7331,7858.3,8028.2,8220.6,8366,8476.9,8557.1,8683.2,8861.1,9020.9,9139.4,9235.4,9350.8,9461.9,9540.2,9730,9923,10075,10182,10280,10402,10509,10587,10825,11017,11207
2026,2429.1,2622.1,2784.2,2957.8,3159.1,3298.7,3472.6,3564.9,3673.1,3748.5,3897,3997.9,4087.2,4149.3,4333.2,4491.1,4648,4796,4919.9,5060.8,5165.2,5253.4,5315.5,5469.5,5625.3,5753.1,5844,5948.7,6027.9,6172.8,6280.1,6370.5,6430.2,6592.7,6744.7,6866.8,6957.9,7024.8,7204.9,7378.5,7901.1,8156.3,8288.7,8442,8537.8,8603.7,8753.2,8895.4,9059.4,9187.4,9334.4,9435.3,9522.8,9586.6,9805.7,9968.5,10122,10233,10380,10488,10575,10638,10898,11062,11240
