l,l,i,l,i,l,l,i,l,i,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,b,r,l
1689.7,2038.4,2440.2,2624.4,2734.2,3086.6,3203.4,3392.8,3598.4,3722.9,4160.4,4294.4,4431.8,4583.8,4692.5,4841.5,5025.4,5177.8,5295.6,5404.7,5506.6,5591.5,5699.2,5775.1,5889.9,6164.7,6299.6,6405.4,6550.3,6744.3,6905.6,7028.4,7138.7,7241.6,7327.6,7433.7,7509.8,7630,7775.6,7898.8,8011.1,8086.9,8205.2,8359.5,8481.1,8590.8,8694.4,8781.9,8887.6,8965.1,9084.9,9323.5,9427.1,9582.9,9686.3,9931.3,10035,10184,10380,10538,10658,10770,10849,10969,11146,11277,11387,11492,11578,11685,11763,11883,12290,12437,12541,12710,12813,12892,13011,13174,13298,13414,13496,13614,14409
1727.7,2077.1,2483.6,2663.7,2791.2,3127.2,3244.3,3445.5,3639.2,3785.8,4246.1,4360.9,4494.8,4628.6,4760.2,4974.2,5103.6,5248.2,5365.2,5470.2,5565,5651.8,5760.6,5834.2,5970.1,6227,6346.8,6488.2,6694.9,6824.6,6980.2,7101.1,7205.6,7299.7,7388.1,7497.3,7573.7,7710.9,7848,7972,8079,8147.5,8286.2,8437.6,8554.3,8660.6,8753.4,8848.9,8954.8,9029,9165,9369.9,9503.8,9630.8,9760.7,9978.4,10108,10328,10460,10611,10732,10840,10908,11051,11222,11350,11457,11548,11637,11753,11827,11967,12352,12485,12622,12773,12881,12953,13094,13249,13374,13480,13550,13695,14452
