l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,l
1990.4,2237.9,2412.9,2524.5,2702.2,2806.5,3034.2,3152,3309.5,3411.9,3488.8,3609.3,3782.6,3903,4014.8,4092.6,4212.6,4373.2,4497,4609.6,4710.8,4799.7,4907.2,4987,5106.2,5599.3,5814,5924.1,6083.6,6192.1,6358.2,6541.9,6700.9,6821.5,6935,7012.9,7134.8,7379,7945.3
2028.8,2294.7,2454,2595,2748.3,2884.1,3079.7,3219,3366.2,3473.4,3545.9,3686.3,3854.9,3976.1,4081.7,4150.9,4291.8,4447.6,4570.4,4674.2,4767.4,4855.8,4974.6,5045.1,5184.5,5651.4,5858.9,5991.9,6129.1,6260.8,6489.2,6621.3,6778.2,6895.3,7001,7070.8,7214.1,7453.1,7981.3
