l,l,l,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r
1992.4,2186.3,2316.6,2503.7,2700.1,2860.3,3045.8,3173.4,3414.3,3581.9,3780.9,3908.5,4050.5,4164,4347.8,4449.3,4523.8,4640.9,4829.2,4947.5,5056.1,5157.1,5244.1,5350.1,5426.4,5543.8,5782.7,5932.5,6039.9,6223.1,6326.9,6402.2,6519.5,6684.7,6800.4,6913.6,7013.9,7100.6,7207.7,7283,7401.6,7661.8,7813.8,7921.8,8068.9,8255.6,8416.5,8534.3,8646.6,8721.9,8838.1,9054,9174,9284,9359.5,9479.2,9670.5,9790.6,9901.1,10003,10091,10196,10272,10392,10836,10995,11098,11255,11433,11590,11711,11821,11923,12011,12115,12191,12311,12460,12582,12694,12794,12881,12988,13066,13185,13612,13717,13911,14019,14197,14305,14469,14574,14649,14767,14942,15061,15171,15274,15362,15468,15545,15665,16607,16726,16863,16972,17166,17270,17422,17527,17679,17859,18011,18131,18238,18315,18432,18599,18720,18834,18935,19021,19127,19205,19327,19856,20021,20132,20293,20399,20680,20820,21024,21136,21284,21466,21615,21739,21848,21950,22038,22146,22223,22349
2030.4,2224.6,2354.5,2546.5,2740.2,2911.6,3086,3227.5,3452.8,3635.5,3821.8,3968.8,4094.7,4232.5,4402.6,4511.2,4585.2,4718.2,4900.3,5018.2,5117.7,5214.2,5303.3,5408.9,5483.4,5617.2,5835.3,5973.8,6108.6,6280.5,6387.8,6462.5,6598.2,6758.9,6873.4,6976,7071.8,7156.8,7270.7,7342,7479.6,7724.6,7859.6,7989,8202,8334.2,8493,8605.9,8709.6,8779.8,8917.8,9124.9,9247.5,9349.2,9418,9557.7,9742.7,9863.7,9965.9,10061,10145,10260,10330,10468,10890,11040,11170,11382,11514,11665,11783,11887,11980,12070,12180,12245,12392,12537,12658,12759,12852,12944,13052,13121,13264,13654,13784,13953,14081,14239,14372,14528,14637,14709,14845,15017,15136,15239,15334,15416,15532,15600,15743,16644,16778,16907,17039,17210,17340,17467,17601,17805,17938,18086,18204,18301,18373,18512,18677,18793,18900,18992,19077,19192,19262,19406,19912,20063,20209,20336,20467,20722,20882,21070,21208,21409,21544,21692,21812,21913,22009,22093,22210,22284,22426
