l,l,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1741.9,1975.5,2143.2,2290.5,2442.4,2551.8,2781.1,2902.9,3108.2,3216.2,3404.4,3505.3,3580.6,3700.5,3868.4,3996.9,4106.8,4182.2,4297,4473.3,4597.1,4705.8,4808.7,4893.4,5000.1,5075.5,5197.5,5461.1,5648.1,5754.6,5913.4,6012.7,6086.8,6207.6,6385.3,6513.8,6624.4,6723.9,6810.6,6919.4,6995.1,7115.2,7466.5,7631.5,7735.8,7945.7,8061.5,8299.8,8403,8558.8,8748.9,8938,9055.9,9164,9266.5,9351.9,9459.8,9535,9655.2,9836.8,9956.7,10068,10168,10254,10360,10437,10559,10829,11037,11144,11456,11569,11717,11908,12071,12192,12305,12384,12500,12841,12977,13083,13247,13350,13426,13547,13722,13845,13956,14058,14146,14254,14330,14452
1778,2018.2,2181.2,2335.4,2481.3,2607.2,2821.1,2960.7,3148,3277.2,3454.7,3563.2,3632.6,3776.2,3942.1,4068.4,4166.4,4235,4374.3,4544.8,4668.3,4770.8,4862.7,4946.6,5060.3,5132.7,5272.8,5511.2,5690.1,5821.7,5962.9,6071.8,6138.4,6283.9,6461.6,6585.8,6685.9,6781.8,6864.9,6982.9,7052.8,7192.1,7517.4,7672.7,7806.3,7985.5,8125.1,8343.1,8469.9,8696,8827.1,9010,9127.4,9228.7,9321.7,9406.7,9522.3,9591.1,9731.7,9910.2,10028,10133,10225,10308,10419,10496,10634,10881,11078,11215,11500,11634,11853,11983,12144,12266,12368,12435,12579,12892,13021,13146,13301,13414,13482,13625,13796,13917,14021,14115,14200,14317,14385,14529
