l,l,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,l,i,l,i,l,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r
1800.6,1970.5,2412.9,2646.7,2956.8,3175,3306.5,3518.7,3636.4,3987.8,4112,4318,4425.7,4583.1,4684.4,4763.7,4876.9,5511.4,5679.7,5791.3,5970.3,6073.5,6234.3,6341.9,6417.4,6535.5,6713.2,6829.1,6939.7,7040.4,7126.2,7229.2,7304.8,7422.7,7728.5,7880.6,7984.9,8207.2,8310.2,8534.8,8637.5,8833.5,8939.2,9339.7,9448.9,9746.8,10547,10681,10815,10942,11064,11196,11354,11481,11618,11799,11945,12063,12170,12244,12363
1834.2,2007.8,2458.4,2691.1,3016,3217.2,3368.7,3560.7,3699.1,4027.8,4174.3,4361.7,4492.8,4640.7,4750.2,4817.8,4954.5,5561.2,5727,5862.8,6015.7,6147.6,6299.8,6405.7,6477.8,6617.6,6783.2,6899,7003.1,7095.5,7185.8,7295.7,7366.8,7502.2,7782.4,7924.3,8051.4,8251.2,8379.1,8579.1,8715.7,8878.9,9012.8,9382.6,9520.9,9780.6,10584,10723,10853,10977,11106,11240,11400,11529,11745,11872,12016,12131,12230,12302,12440
