l,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r
1373.3,1700,1829.1,1971.4,2069.2,2147.2,2266,2446.2,2563.2,2671.6,2775.4,2860.9,2964.4,3042.3,3157.7,3432.6,3588.3,3713.7,3852.2,3950.2,4030.7,4144.8,4660.1,4846.4,4947.1,5129.6,5232.8,5386.7,5486.2,5563.1,5677.6,5853.7,5974.3,6082.2,6183.9,6267.7,6374.6,6451.1,6568.3,7128.2,7252.6,7410.4,7520.8,7721.2,7826.3,7988.8,8153.7,8287,8411.9,8516.6,8596.1,8712.4,8890.4,9016.1,9134.9,9226.6,9312.7,9419.7,9498.4,9619.6,10340,10450,10616,10746,10937,11047,11215,11384,11562,11683,11793,11897,11984,12089,12166,12287
1403.8,1732.1,1863.4,2017.9,2129.1,2197.2,2334.4,2517.1,2632.5,2732.1,2829.1,2914.1,3024.9,3090.2,3230.4,3477.4,3623.9,3748.8,3901.7,4013.7,4081.3,4220,4709.7,4887.8,5019.3,5174.1,5294.1,5443.2,5550.7,5615.2,5753.8,5926.1,6046.7,6147.1,6240,6327.4,6436.2,6502.9,6644.2,7162.4,7309.7,7455.8,7594.5,7765.5,7896.3,8100.7,8230.5,8358.2,8482.1,8579.8,8651.1,8784.8,8963.2,9086.1,9187.3,9282.3,9366.4,9481.6,9553.6,9694.5,10374,10506,10657,10786,10980,11109,11328,11458,11633,11758,11858,11954,12038,12152,12220,12364
