i,l,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,f,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1757.2,1987.7,2206.2,2336.1,2512.5,2623.9,2833.1,2949,3125.1,3222.3,3296.8,3411.9,3636.2,3754.1,3860,3936.5,4051.6,4208.8,4330.1,4437.4,4536.8,4621.1,4725,4799.6,4918.1,5188.3,5336.2,5446.9,5590,5773.5,5939.2,6058.1,6169.6,6267.9,6351.7,6456.9,6532.5,6657.3,6881.4,6959.7,7112.2,7209.5,7354.4,7458.5,7596.3,7700.5,7871.6,8037.7,8189.9,8307.5,8417.7,8493.9,8612.5,8775.3,8893.6,9005.9,9105.8,9191.7,9297.6,9372.6,9491.4,9657.6,9778.6,9886.6,9986.9,10073,10178,10255,10374,10641,10795,10894,11090,11191,11353,11534,11696,11819,11926,12001,12119,12288,12412,12521,12621,12707,12812,12891,13010
1793.6,2028.5,2243.1,2389.3,2557,2689.1,2879.4,3023,3180.7,3285.9,3357.5,3490.9,3710.5,3826.2,3930.9,3995.3,4126.3,4280.6,4398.6,4501.5,4592.4,4681.8,4788.9,4857.5,4997.3,5250.2,5386,5528,5721.6,5854.8,6012.5,6132.3,6234.2,6325.7,6412.8,6523.9,6591.7,6732.4,6923.8,7005.1,7155.2,7271.7,7396.2,7530.7,7641.2,7768.5,7987.9,8114.8,8263.7,8379.1,8477.9,8544.5,8687.4,8850.6,8967,9067.6,9162.2,9247.2,9357.6,9422.7,9568.6,9731.2,9851.4,9949.2,10044,10132,10239,10306,10452,10689,10836,10962,11132,11261,11480,11611,11769,11890,11986,12058,12195,12359,12484,12585,12679,12762,12876,12945,13085
