l,i,l,i,l,l,l,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1043.1,1232,1426.3,1574,1817,1978.4,2113.6,2568.4,2714.4,2954.7,3097.6,3277.5,3409.8,3753.6,3883.4,4029.8,4211.5,4378,4498.1,4603.4,4676.8,4791.6,4982.4,5101.2,5207,5307.5,5392.2,5495.1,5569.3,5686.8,6195.6,6364,6468.5,6618.5,6802,6992.8,7139.8,7246.7,7346.1,7431.1,7533.2,7608.1,7725.9
1075.6,1276.9,1463.1,1618.8,1852.4,2014.2,2148.8,2604.2,2765.5,2999.7,3156.5,3316.3,3472.3,3792.3,3949,4160.9,4289.8,4451.1,4566.7,4667,4732.7,4869,5054.4,5171.3,5273.9,5364.8,5450.1,5559.9,5628.2,5761.8,6240.6,6408.2,6543.1,6748.8,6875.7,7064.9,7210.9,7309.6,7402.9,7484.9,7597.4,7665.4,7803.2
