l,l,i,l,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,l,l,l,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r
2720.8,2961.7,3136.3,3341.4,3490,3644.5,3838.2,3974.8,4175.8,4299.2,4464.9,4567,4642.8,4761.3,4960.9,5080,5188.3,5292.2,5379.6,5486,5558.9,5679,6131.6,6656.8,6744.9,6975.2,7213.5,7381.5,7539.8,7677.8,7836.2,7964.4,8113.8,8275.3,8459.6,8578.6,8687.4,8787.5,8874.4,8979,9055.1,9172.8,9362.2,9491.3,9601.4,9703.9,9790.7,9896.3,9973.2,10095,10458,10631,10731,10902,11084
2757.4,3001.3,3194.5,3382.5,3532.3,3705.9,3884.6,4045.3,4221.3,4371.2,4523.5,4634.2,4706.8,4844.7,5033.5,5154,5257.2,5353,5440.1,5548.3,5625,5758.2,6168.6,6708.2,6805.3,7006.8,7253.3,7429.9,7583,7712.7,7876.8,8007.5,8224.1,8349.3,8528.8,8646.2,8750.6,8845,8928.9,9040.4,9104.8,9248,9433.4,9562,9668.2,9759.2,9845.5,9957.6,10028,10172,10509,10672,10799,11030,11164
