l,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1047.6,1196.6,1461.5,1780,1974.2,2103.2,2320.5,2460,2667.2,2771.2,2980.2,3085.8,3244.7,3345.7,3420.8,3537.2,3691.1,3812.3,3918.8,3994.9,4111.3,4386.3,4585.4,4688.2,4837.2,5027.7,5210.8,5329,5440,5540,5624.9,5728.8,5805.6,5922.2,6080.6,6200.5,6312.8,6413.4,6496.6,6601.4,6678.8,6794.7,7212.2,7320.6,7541.2,7643.3,7796.6,7979.2,8144.3,8264.5,8374,8449.2,8566.6,8711.5,8837,8949.5,9049.8,9135.6,9241,9317.9,9436.3,9711.9,9879.6,9983.7,10226,10326,10474,10668,10819,10944,11055,11130,11247,11393,11512,11623,11704,11822,12019,12143,12254,12355,12440,12546,12621,12745
1081.9,1242.9,1498.9,1828.1,2009.3,2155.1,2361.1,2509.8,2706.2,2837.3,3018.6,3151.9,3295,3406.4,3477.1,3615.5,3764.7,3881.9,3978.4,4055.6,4189.3,4443.1,4630.5,4756.6,4969.8,5101.8,5281,5400.8,5502.6,5595,5683.4,5790.4,5857.2,6001.8,6156.9,6274.1,6376.2,6467.6,6551.2,6662.9,6733.3,6869.9,7249.1,7381,7582.4,7713,7924.7,8057.3,8217.2,8338.7,8437.8,8509.2,8646.7,8789.7,8913.2,9013,9106.5,9191.1,9300,9374.5,9513.1,9760.3,9925.6,10051,10266,10399,10615,10746,10896,11018,11120,11188,11327,11467,11586,11690,11761,11901,12097,12216,12316,12412,12494,12608,12675,12822
