l,i,l,l,l,i,l,i,l,i,l,i,l,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1986.6,2247.4,2439.1,2575.3,2699.8,2865.4,3031.3,3169.3,3391.5,3502.8,3746.6,3932.1,4122,4235.8,4391.4,4583.6,4698.4,4997,5116.5,5299.6,5410.5,5626.7,5741.7,5896.6,6001.9,6075.8,6194.5,6334.2,6454.1,6563.9,6639.9,6757.2,6983.9,7106.7,7218.2,7319.4,7405.6,7511.6,7586.4,7704,7943.2,8051.6,8321.2,8425.3,8582.2,8685.7,8761.3,8880.6,9036.7,9158.9,9269.8,9373.1,9459.1,9565,9640.5,9754.9,10100,10245,10352,10500,10692,10877,10994,11106,11209,11295,11402,11478,11597,11914,12077,12186,12469,12932,13041,13239,13348,13515,13619,13695,13813,14028,14145,14260,14362,14449,14558,14634,14755
2017,2287.6,2479.1,2614.6,2741.4,2911.4,3072.4,3221.9,3431.2,3567.1,3788.9,3979.2,4164.7,4279.4,4446.4,4627.9,4764.2,5041.6,5178,5338.9,5477.8,5669.7,5815.4,5949.4,6064.9,6137.7,6273.2,6407.6,6525.7,6628.5,6696.2,6837.4,7058,7179,7283.4,7376.2,7464.3,7575.8,7638.5,7780.2,7984.9,8116.8,8362.3,8487.9,8641.6,8747.3,8818.2,8960.4,9108.5,9231.6,9334.5,9429.7,9515.7,9629.5,9695.8,9833,10159,10291,10426,10636,10771,10952,11071,11173,11266,11351,11467,11540,11677,11969,12120,12259,12512,12971,13107,13285,13416,13569,13683,13752,13891,14101,14221,14325,14420,14512,14625,14696,14833
