l,l,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1587.9,1737.9,1972.5,2113.4,2289.6,2398,2583.1,2683,2758.4,2873.4,3041.6,3158.9,3266.1,3364,3446.6,3548,3623.1,3740.8,4088.8,4293.3,4395,4541.3,4722,4912.1,5034.6,5139.4,5241.1,5325.5,5429.6,5504.4,5620.4,5957.2,6112.3,6214.7,6367.8,6470.2,6542.2,6659.5,6936.7,7099.5,7204,7357.4,7543.5,7712.2,7837.6,7947,8047.5,8133.2,8236.8,8312.2,8428.1,8985.1,9090.7,9243.2,9343.7,9418.8,9534.8,9798,9952.3,10054,10207,10403,10595,10730,10837,10938,11024,11130,11204,11328
1621,1772.2,2012.8,2158.3,2327,2452.4,2638.1,2741.5,2810.8,2946.2,3112.6,3228.6,3329.7,3420.2,3501.9,3606.1,3679,3815.5,4140.6,4334.4,4472.3,4672.1,4803.3,4983.2,5104.2,5204.9,5299.4,5381.6,5493.4,5558.7,5698.4,6012.2,6153.7,6285.9,6427.1,6535.1,6598.3,6739.3,6997,7140.9,7278.1,7491.8,7624.1,7783.6,7910.6,8012.3,8101.6,8186.6,8297.8,8368.7,8506.5,9024,9152.2,9299.1,9406.8,9474.3,9609.5,9847.7,9994.5,10130,10343,10484,10666,10801,10902,10995,11084,11194,11262,11407
