l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,f,a,b,l
1221.2,1372.3,1532.2,1652.6,1874.1,1991.8,2180.9,2284.8,2423,2605.1,2797.7,2913.6,3020.1,3120.2,3203.9,3308.6,3380.9,3498.4,3698.6,3815.9,3926.5,4025.2,4108.8,4211.9,4287.6,4405.5,5127.8,5254.1,5431.2,5567.3,6055.7,6170.2,6332.8,6439.8,6511.8,7489.6
1258.4,1417.2,1569.2,1714.7,1914.1,2059.8,2220.4,2357.2,2556.6,2681.9,2871.7,2985.7,3084.9,3175.2,3262.5,3369.8,3437.1,3575.4,3770.3,3886.8,3988.8,4082,4163.2,4273.9,4342.4,4482.5,5165.6,5308.3,5474.5,5634.4,6095.3,6236.9,6389.7,6501.9,6572.7,7524.9
