l,i,l,i,l,i,l,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1191.4,1434.8,1622.2,1770.8,1991.6,2138.4,2356.3,2716.3,2849.6,3038.6,3187.4,3874,4007.9,4148.2,4266.7,4418.8,4595,4813.4,4928,5042.6,5111,5221.3,5429.8,5567.6,5673.1,5772.8,5856.2,5959.2,6033.8,6150.3,6357.3,6480.5,6586.5,6685.5,6771.5,6876.8,6949.6,7069.2
1224.6,1470.8,1656.1,1814.9,2027,2183.8,2396.8,2755,2899.4,3081.8,3243.2,3908.3,4061.8,4192.9,4333.6,4543.7,4673.8,4884.6,4996.8,5086.6,5154.5,5304.1,5501,5636,5735.4,5827.5,5915.7,6021.7,6091.6,6229,6425.8,6550.5,6651.6,6742.5,6828.5,6939.4,7006.4,7148
