l,l,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1807.2,1979.2,2127.7,2284.1,2406.3,2568.7,2682.7,2864.8,2972.8,3145,3248.3,3424.8,3520.8,3677.8,3775.8,3853,3963.1,4109.2,4223.8,4331.2,4409.4,4521.6,4746.1,4880.1,4981.9,5130.6,5308.8,5461.1,5579.4,5687.4,5765.9,5878.4,6034.7,6149.8,6257.3,6358.1,6443,6547.3,6622.8,6739.7,6970.6,7119.5,7220,7376.5,7550.6,7707.6,7823.1,7930.2,8031.9,8115.7,8220.1,8295,8414.4,8597.3,8723.8,8832.3,8933.9,9019.4,9123.1,9200.1,9319.2,9513.4,9631.9,9743.4,9844.7,9932,10037,10114,10235,10500,10603,10770,10874,10949,11065,11238,11359,11470,11570,11657,11763,11840,11960,12318,12433,12595,12698,12930,13038,13206,13307,13385,13500,13683,13800,13908,14011,14096,14204,14280,14400,14580,14703,14815,14916,15005,15111,15193,15310
1837.8,2016.6,2170.9,2319.2,2441.5,2600.7,2721.2,2901.9,3032.2,3185.7,3311.1,3462.9,3583.5,3728,3833.7,3908.8,4036.6,4179.9,4295.8,4391.1,4465.7,4594.8,4799.2,4922.3,5047.8,5256.6,5381.9,5531.5,5651.8,5748.6,5822.9,5955.8,6106.3,6220.9,6318.8,6413.6,6502.2,6607.8,6675.3,6814.6,7021.5,7161.2,7287.8,7498,7626.4,7778.8,7894.4,7993.9,8086.8,8169.9,8280.4,8350,8492.1,8670.8,8794.5,8898.9,8990.7,9078.6,9188.3,9257.8,9395.9,9585,9705.8,9807.9,9901.3,9989.8,10102,10172,10310,10540,10675,10829,10934,11004,11144,11314,11432,11530,11627,11713,11830,11896,12034,12357,12500,12636,12764,12971,13106,13261,13372,13440,13577,13757,13870,13973,14070,14154,14267,14338,14479,14653,14778,14878,14976,15060,15177,15244,15386
