l,l,i,l,i,l,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,l,l,l
1679.3,1988.9,2245,2451.7,2609.4,2834.9,2989,3126.2,3331.5,3467.8,3699.8,3822,4063.5,4166.5,4369.3,4471.6,4627.3,4730.1,4805.8,4924.3,5071.4,5190,5302.4,5403.3,5487.8,5593.1,5670.1,5787,6519.3,6600.6,7562.3,7776.2
1712.6,2029.7,2293.7,2491.1,2664.1,2876.1,3029.3,3184,3371.2,3528.1,3741.4,3890.1,4106.1,4236.9,4409.3,4540.1,4685,4791.3,4861.5,5000.5,5143.2,5265.3,5366,5460.7,5547.2,5658.3,5726.8,5866.8,6570.6,6645.6,7598.4,7812.3
