l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,b,r
1989,2190.8,2334,2481.6,2635.4,2739.8,2948.6,3049.2,3212.5,3313.3,3386.9,3500.9,3692.9,3806,3913.5,3987.2,4101.7,4279.4,4395.7,4504.3,4579.5,4695.3,4887.9,5009.2,5115,5216.7,5299.5,5401.8,5477.2,5592.4,5885.2,6028.9,6135.1,6318.9,6421.6,6496.1,6613.8,6875.5,6993.3,7077.2,7188.1,7298
2026.5,2242,2374.6,2533,2677.5,2803.9,2986.4,3116.4,3266.7,3372.9,3444.8,3575.8,3761.8,3877.5,3972.8,4046,4178.2,4353.2,4466.6,4567.8,4634.2,4775.2,4961.1,5078.3,5177.4,5271.2,5352.9,5464.5,5534.4,5669.6,5943.5,6072.3,6207.7,6379.5,6486,6557.2,6693.2,6945.9,7063.4,7164.8,7236.3,7375.9
