i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l
1028.8,1219.9,1324.1,1562.2,1739,1974.3,2116.7,2327.5,2453.5,2701.8,2832,2978.7,3076.9,3150.3,3264.4,3494.9,3609.8,3718.3,3814,3899.6,4005.6,4079,4197.5,4378,4493.2,4603.8,4703.6,4788.1,4891.3,4965.2,5083.2,5262.4,5383.4,5491.8,5592.6,5676,5785.6,5858.6,5979,6988.1
1072.3,1253.1,1382.2,1602.4,1784.9,2011,2162.9,2368.9,2519.1,2743,2898.9,3037,3136.4,3207.5,3339.6,3565.3,3681.3,3781.1,3871.3,3954,4064.3,4133.2,4275.1,4449.5,4565.5,4669.2,4758.8,4845,4950.9,5021.2,5162.7,5336.2,5454.5,5557.1,5649.5,5737,5844,5914,6054.8,7024.3
