i,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
4959.7,5130.8,5279.2,5427.3,5529.9,5750.1,5855.9,6102.5,6209.6,6361.7,6535.3,6679,6789.6,6894.8,6993.3,7077.4,7179.2,7254,7366.1,7603.1,7702.4,7848.8,8031.8,8198.2,8314.8,8421.6,8494.6,8610.2,8751.5,8874.1,8983,9083.3,9167.2,9270,9345.9,9462.7,9747.8,9889.4,9991.2,10140,10327,10468,10587,10695,10771,10886,11079,11196,11304,11403,11488,11594,11669,11787,12089,12217,12318,12497,12601,12750,12938,13087,13206,13312,13389,13506,13694,13811,13920,14020,14105,14209,14285,14402,14591,14710,14818,14921,15007,15111,15188,15307,15663,15771,15931,16028,16208,16310,16456,16640,16806,16924,17034,17109,17226,17553,17728,17832,18042,18147,18298,18400,18476,18594,18743,18874,18987,19088,19175,19281,19359,19480
4995,5169.1,5311.6,5466,5591,5786.8,5920.5,6138.8,6281.8,6480.8,6610.2,6749.4,6857,6955,7048.8,7131.3,7236.9,7310.6,7438.9,7644.1,7773.9,7980.5,8107.3,8269.1,8383.1,8479.9,8551.6,8687.2,8823.8,8946.7,9042.5,9138,9218.8,9329.6,9404.5,9534.3,9807,9927.8,10056,10271,10402,10539,10658,10759,10824,10963,11150,11267,11366,11460,11548,11657,11724,11865,12150,12258,12398,12541,12666,12881,13017,13160,13277,13374,13445,13581,13768,13884,13982,14076,14161,14273,14342,14481,14662,14786,14887,14978,15068,15177,15246,15385,15701,15837,15971,16102,16252,16384,16588,16718,16879,16997,17097,17172,17305,17612,17769,17901,18083,18219,18356,18465,18537,18675,18816,18949,19053,19145,19234,19349,19420,19561
