l,i,l,i,l,i,l,i,l,i,w,r,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
2413.7,2590.8,2746.6,2852.3,3018.4,3125.7,3270.9,3376.4,3533.7,3634.2,3810.2,3970.5,4135.8,4252.9,4328.4,4441.7,4613.3,4728.4,4839,4938,5023.1,5125.5,5200.8,5319.4,5508.9,5631.7,5742.3,5843.5,5929,6033.4,6107,6223.6,6481.9,6620.8,6727.1,6890.9,7079.9,7258.4,7377.7,7490.3,7568.7,7684,7926.5,8064.4,8167.9,8380.9,8478.1,8627.2,8810.9,8989.4,9108.2,9218.5,9292.9,9410.9,9577.8,9701.9,9811.1,9912.9,9997.7,10103,10181,10300,10490,10608,10721,10802,10917,11253,11395,11502,11713,11816,12046,12150,12420,12524,12673,12777,12928,13116,13278,13400,13507,13586,13701,13921,14051,14164,14265,14351,14459,14538,14658
2450.3,2635.5,2784.1,2914,3056.7,3186.7,3307.1,3440.8,3572.4,3705.4,3918.8,4044.1,4209.2,4318.9,4389.3,4521.4,4686.9,4802.2,4903.1,4994.7,5079.8,5189.6,5257.8,5398.8,5580.5,5706,5804.3,5901.3,5989.2,6098.1,6163.3,6300.6,6536.2,6668.4,6804.2,7023.4,7159.2,7330.9,7453.5,7554.6,7625.8,7763.1,7986.7,8110.1,8243.3,8423,8557.8,8755.6,8888.9,9064.6,9184.9,9283.4,9355.7,9492.2,9656.1,9777.8,9880.4,9970.1,10061,10168,10235,10378,10565,10683,10787,10856,10997,11309,11441,11574,11757,11895,12086,12224,12457,12593,12717,12846,13062,13191,13353,13472,13573,13641,13780,13993,14123,14226,14322,14411,14524,14595,14737
