l,i,l,i,l,l,l,i,l,i,l,i,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,f,a,b,r
1526.6,1731.5,1979.6,2284.2,2531.2,2680.7,3012.1,3168.9,3368.8,3523.4,3737.9,3918.2,4213.4,4410,4545.1,4723.2,4877.4,5066.8,5177.9,5328,5506,5672.6,5788.7,5896,5969.6,6086.7,6279.2,6402.9,6511.8,6587,6702.9,6930.6,7135.8,7239.9,7393.5,7584.1,7771.9,7895.1,8005,8103.6,8190.4,8298.1,8373.7,8489.5,8689.1,8823.2,8932.5,9005.4,9123.8,9315,9437.6,9546.8,9646.8,9731.3,9837.6,9914.2,10033,10992,11141,11347,11458,11608,11796,11967,12086,12197,12294,12381,12485,12559,12678,12869,12990,13102,13202,13287,13394,13470,13592,13939,14107,14212,14372,14473,14678,14779,14854,14973
1560.2,1769.2,2016.4,2327.1,2567.4,2720.8,3049.6,3218.3,3409.8,3576.5,3776.8,3965.8,4259.8,4454.4,4607.1,4765.6,4934.6,5107.7,5241.6,5449.7,5583,5746.9,5859.9,5959,6027.1,6165.9,6351.5,6473,6580.3,6643.8,6783.5,6986.9,7177.5,7307.5,7534.2,7663.4,7844.5,7965.8,8063.7,8160.1,8248,8356.4,8425,8566.1,8761,8893.8,8994.7,9066.9,9203.1,9389.9,9510.5,9609.7,9703.1,9791.8,9902.6,9970.8,10109,11032,11194,11390,11530,11747,11874,12042,12157,12261,12352,12436,12547,12616,12755,12945,13065,13167,13258,13347,13458,13527,13668,13989,14152,14285,14419,14547,14736,14842,14912,15055
