l,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,l,l,i,l,i,l,i,f,a,b,r,n,n,a,b,f,a,b
1984.2,2363.4,2494.8,2626,2735.3,2907.6,3014.5,3244.3,3349.7,3511.1,3697.3,3853.2,3969.2,4077.7,4179.2,4264.8,4370.2,4445.8,4562.7,4744.8,4864.7,4976.2,5076.1,5160.8,5268.1,5338.6,5462.4,6065.6,6226.8,6337.2,6482.2,6669.8,6850.7,6972.3,7083.3,7185.7,7270.6,7376.9,7452,7572.3,7790.4,8758,8916.5,9077.9,9284.3,9395.2,9663.7,9767,9923,10026,10101,10219,10391,10513,10622,10728,10817,10921,10998
2018.3,2409.5,2552.6,2675.5,2804,2960.4,3084.6,3294.9,3432.3,3647.8,3774.6,3927.5,4041.5,4143.4,4235.4,4326.4,4435.9,4508.6,4641.3,4817.8,4939.2,5043.1,5132.5,5224.3,5335.2,5406.4,5544,6125.5,6276.9,6419.8,6621,6748.3,6925.3,7047.2,7151.1,7243.8,7332.9,7442.9,7513.6,7652.8,7862.4,8801.7,8967.2,9165.5,9328.8,9466.5,9706.7,9838.9,9982.3,10090,10159,10296,10461,10581,10686,10782,10876,10987,11061
