l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,b,r,i,l,i,w,r
1146.6,1306.2,1510.3,1708.6,1982.3,2130.2,2344.4,2460.4,2674.9,2783.9,2940.8,3042.2,3116.2,3232.5,3411.8,3528,3638.3,3739.1,3824.7,3931.6,4005.7,4126.7,4329.3,4451.1,4559.4,4659.3,4746.1,4853.7,4929.9,5048.5,5315.1,5486.3,5587.6,5737.8,5929.8,6124.5,6251.9,6362.1,6464.3,6549.1,6654.4,6728.6,6848.2,7164.6,7358.1,7468.6,7697.4,7805.7,7964.9,8069.1,8144.2,8262.8,8427.8,8553.1,8663,8737.9,8858,9208.3,9361.4,9465.4,9616.4,9808.2
1183.7,1355.8,1549.8,1752.6,2021.2,2179.2,2383.5,2517.1,2712.8,2848,2991.3,3099.2,3172.4,3307.3,3486.8,3598.5,3703.6,3794.5,3878.7,3989.3,4063,4206.2,4400.4,4521.1,4620.3,4716.8,4807.3,4914.9,4985.3,5126.2,5366.3,5528.3,5661.1,5874.8,6008.1,6196.8,6324.4,6426.2,6519.2,6603.4,6717.2,6786.8,6923.8,7217.9,7403.7,7546.2,7738,7874,8025.5,8129.4,8199.8,8338.1,8502.5,8622.3,8726.6,8794.2,8938.5,9258.7,9408.1,9537.9,9758.9,9884.3
