l,l,i,l,l,i,l,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n
1648.2,1976.6,2132.6,2338.6,2469.3,2719.6,2911.2,3058.5,3230.1,3341.3,3580.1,3690.7,3890.1,3998.4,4239.4,4349,4598.7,4702.1,4854.8,4955.8,5031.6,5150.5,5302.6,5425.2,5538,5639.2,5724.5,5828.4,5905.3,6023.5,6303.1,6487.6,6594.7,6742.6,6933.7,7122.6,7245.2,7355.7,7430.8,7547.5,7718.6,7838.8,7946.1,8024.3,8143.7,8411.4,8578.5,8682.7,8833,9029.9,9203.4,9328.7,9439.5,9514.9,9633.6,9825.3,9948.6,10058,10138,10257,10674,10811,10915,11074,11185,11337,11530,11700,11822,11934,12012,12128,12292,12416,12530,12632,12719,12826,12903,13024,13650,13945,14077,14234,14339,14536,14637,14778,14885,15178,15288,15453,15555,15632,15751,15956,16055
1681.8,2012.3,2179.9,2376.7,2512.4,2770.4,2949.8,3114.6,3271.6,3405.1,3623.7,3762.4,3934.2,4069.2,4282.2,4422.3,4639.2,4773.4,4907,5017.8,5091,5228.5,5376.4,5498.7,5602.1,5695.5,5782.7,5891.5,5964.9,6101.7,6360.3,6529.6,6664.5,6879.7,7010.8,7196.2,7317,7418.3,7488.2,7628.2,7792.1,7910,8010.1,8082.5,8220.8,8466.4,8623.3,8750.2,8973.6,9106.5,9278.2,9400.9,9503.4,9574,9713,9899.7,10023,10126,10198,10337,10729,10855,10991,11117,11252,11477,11610,11775,11896,11998,12068,12212,12370,12490,12598,12689,12775,12893,12964,13105,13683,13986,14139,14277,14410,14581,14710,14821,14955,15219,15356,15512,15620,15693,15832,16029,16153
