i,l,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1804.2,1974.3,2414.2,2556.1,2745.6,2893.1,3042.8,3154.1,3388.2,3495,3667.2,3765.7,3843.1,3956.4,4147.4,4265.3,4371.6,4471.3,4556.7,4661.8,4738.2,4855.4,5578.7,5696.1,5853,5970.9,6124.7,6226.3,6300.7,6418.5,6572.2,6691.7,6799.2,6900.2,6986.4,7090.8,7167.2,7283.1,7487.1,7614.4,7726.1,7828.8,7912.4,8019.5,8095.5,8214.9,8523.7,8683.8,8786.6,8958.3,9130.6,9315.3,9440.1,9547.7,9649,9733.2,9839.2,9915.4,10036,10464,10624,10725,10895,11064,11294,11416,11525,11628,11714,11821,11898,12017,12367,12514,12622,12794,12898,13083,13184,13260,13377,13545,13671,13780,13882,13972,14079,14156,14280
1840.4,2011.4,2448.7,2604.4,2784.7,2949.5,3083.3,3216.3,3427.4,3561.2,3718.4,3825.7,3897.6,4033.5,4218.3,4335,4436.4,4527.6,4616.3,4723.3,4795.4,4932.3,5616.4,5754.2,5896.4,6033.9,6181.7,6287.2,6359.6,6497,6643.7,6763.8,6863.5,6957.8,7042.9,7154.5,7226.7,7361.6,7555.9,7687,7791.2,7886.6,7969.2,8082.4,8152.4,8294.1,8579.4,8726.4,8861.2,9075.9,9208.6,9388.9,9512.4,9611.6,9705.7,9794,9902.3,9972.9,10114,10515,10665,10795,11009,11140,11365,11490,11592,11687,11772,11885,11957,12098,12405,12557,12688,12834,12962,13139,13246,13319,13455,13619,13743,13846,13940,14034,14143,14213,14359
