l,l,l,l,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r
1980.9,2251.5,2676.5,2809.8,3034.6,3165.8,3356,3463.5,3669.8,3847.8,3992.1,4104.7,4299.9,4401.8,4549.2,4724.9,4921.3,5035,5136.4,5210.3,5323.6
2019.5,2290.1,2717.8,2848.3,3067.5,3211.5,3391.2,3516.7,3707,3895.6,4032.2,4169.5,4339,4473.7,4676.9,4802,4993.2,5102.4,5200.8,5268.8,5397.9
