l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1988.6,2144.3,2287.7,2396.4,2538.8,2637.4,2711.9,2822.6,2969,3087.3,3193.7,3292.6,3376.4,3478.8,3553,3667.7,3856.6,3971.6,4077.6,4177.2,4261,4365.5,4439.6,4560.2
2020.5,2187.4,2326.8,2450.3,2591.8,2694.1,2767.5,2893.8,3039.5,3157.5,3255.1,3345.7,3429.2,3541.8,3609.7,3744.6,3927,4041.5,4142.3,4234.1,4318,4425.2,4495.2,4636.1
