l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
2700.5,2835.3,3001.2,3115.4,3317.2,3418.1,3567.2,3746.6,3923.6,4041.6,4147.2,4221.1,4337.4,4562.2,4682.3,4790.7,4890.4,4975.7,5079.2,5156.2,5273.3,5511.2,5674,5774.2,5926.5,6123.6,6312.6,6430.8,6541.5,6615.8,6733.8,7077,7231.8,7333.2,7486.3,7674.9,7893.9,8013,8124.1,8225.2,8312.1,8416.9,8491.5,8612.2
2735.3,2882.8,3038,3174.5,3355.2,3483,3692.2,3822.9,3997.9,4112.9,4211.5,4281.7,4414.4,4636.1,4752.6,4854.4,4947.3,5030.4,5140.9,5211.1,5348.4,5566.3,5715.6,5847.4,6065.3,6203.2,6387.6,6504.9,6607.4,6671,6813.7,7127.5,7274.4,7406.3,7622.3,7753.1,7967.3,8087.2,8187.8,8282.4,8366.5,8478.2,8546.6,8689
