i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,i,l,i,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r
2439.7,2646.3,2792,3000.1,3153.1,3358.8,3486.5,3676.5,3781.6,3941.7,4041.9,4115.9,4233.2,4413.5,4535.5,4641.8,4740.7,4825.6,4930.2,5007,5123.7,5406.6,5566.6,5667.6,5849.9,5950.3,6026.1,6141.5,6425.3,6551.7,6655.4,6834.8,6937.4,7013.3,7131.4,7281.2,7404.3,7512,7591.4,7705.7,8058.6,8211.9,8344.2,8490.3,8645.7,8791.1,8909.7,9017.3,9119.4,9206.5,9312.2,9388.8,9508.1,9809.5,9953.9,10060,10216,10403,10575,10690,10803,10906,10990,11096,11174,11292,11481,11602,11716,11818,11905,12010,12089,12212,12520,12681,12786,12932,13040,13210,13403,13608,13733,13841,13944,14029,14138,14216,14336
2472.8,2685.7,2842.8,3034,3206.3,3393.8,3532.3,3713.5,3842.4,3993.7,4099,4174.8,4310.6,4483.1,4603.9,4705,4795.8,4881.5,4994.5,5064.1,5199.2,5462.1,5605.8,5743.9,5906.2,6009.2,6081.4,6218.8,6469.6,6595.5,6719.7,6888.6,6996.6,7073.5,7208.2,7355.9,7477.1,7578.3,7641.7,7784.6,8117,8253.1,8393.7,8593.6,8721.3,8860.9,8979.9,9082.9,9176.4,9261.8,9377.7,9445,9586.3,9871.4,10001,10132,10350,10482,10646,10767,10865,10963,11049,11158,11227,11372,11554,11675,11782,11877,11959,12072,12143,12288,12567,12727,12854,12979,13112,13345,13482,13681,13805,13904,14002,14090,14203,14274,14416
