l,i,l,l,l,i,l,i,l,i,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r
1990.9,2164.2,2367.7,2499.1,2614.7,2807.6,2997.8,3099,3327.9,3440.8,3672.8,3787.9,3890.6,3965.8,4075.9,4254.9,4369.6,4476.6,4574.4,4658.9,4759.3,4834.2,4947.8,5486.1,5635.9,5739.5,5901.1,6077.2,6258,6373.7,6482.4,6581.3,6664.9,6768.9,6843.3,6958.2,7182.9,7302.8,7412.3,7511.3,7597.7,7699.9,7774,7891.8,8609.6,8748.1,8939.1,9042.7,9193.7,9377.5
2029.4,2210.5,2408.2,2534.7,2651.8,2859.6,3036.9,3168.1,3368.2,3506,3740.2,3854.8,3953.4,4022.5,4149.7,4327.1,4441.5,4536.4,4630.2,4713,4817.5,4890.6,5020.2,5537.5,5676.8,5803.9,6024,6152.8,6328.4,6447.3,6546.4,6637.6,6724.3,6832.6,6899.9,7036.3,7252.8,7377.8,7476,7567.7,7656.7,7763.4,7829.7,7969.2,8646.1,8802.6,8980.6,9109.3,9325.3,9456.2
