l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1975.2,2130.9,2308.9,2440.7,2596.2,2702.6,2904.4,3039.2,3217.3,3321.3,3547.8,3649.6,3793.1,3964.2,4111,4221.2,4324.7,4395.8,4508.5,4700.4,4811.2,4916.6,5012.6,5094,5195.9,5270.2,5383.6,5576.8,5690.2,5796.8,5871,5986.6,6416.8,6521,6740.3,6847.6,7002.8,7099.6,7173.3,7288.2,7479.4,7595.7,7702.1,7778.2,7891.6,8095.8,8215.8,8323.5,8419.6,8501.2,8602.9,8677.2,8791.3,8982.5,9099.9,9210.7,9310.1,9394.8,9499.1,9572.8,9692.1
2008.9,2174.7,2346,2486.7,2636.3,2768.2,2942.8,3098.2,3259.4,3385.7,3585.4,3715.7,3918.4,4042.9,4181.3,4288.3,4381.9,4454.8,4581.7,4768,4882.2,4977.7,5067.4,5153.3,5259.7,5327.6,5461.6,5645.4,5762.4,5859,5931.6,6062.4,6455.7,6585.7,6781.9,6917.2,7056.4,7163.1,7235.2,7366.9,7551.3,7666.7,7767.8,7837.3,7969.8,8168,8287.7,8385.9,8476,8561.8,8667.5,8735.1,8865.9,9053.6,9173.7,9276.5,9366.1,9450.7,9561,9634.6,9765.9
