l,i,l,l,l,l,i,l,i,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,b,r
1793.1,1963.4,2148,2301.5,2657.6,3034.2,3144,3398.6,3510.2,3690.9,3793,3871.2,3989.3,4326.9,4498.4,4601.8,4780.6,4955.9,5160.1,5285,5397.7,5501.6,5590.3,5697.1,5774.7,5896.5,6113.8,6238.8,6351.3,6454.4,6542.2,6651.2,6730,6852.6,7210.7,7391.2,7496.2,7637.8,7783.7,7949.2,8122.2,8304.9,8425.2,8538,8644.6,8733.7,8843.5,8923.6,9045.8,9237.1,9370.8,9483.6,9589.4,9678.3,9787.4,9866.8,9992.9,10183,10306,10422,10529,10616,10727,10808,10928,11533,11716,11824,12114,12249,12387,12490,12571,12696,12862,12989,13111,13208,13298,13410,13492,13614,14168,14318,14428,14607,14717,14897,15073,15294,15428,15542,15646,15736,15850,15929,16052,16269,16401,16515,16596,16721
1829.4,2012.5,2189.8,2343.3,2697,3069.5,3206.8,3435.9,3571.2,3741.2,3852.7,3929.7,4068.5,4382.7,4539.8,4671.2,4900,5034.8,5230.4,5357.2,5465.7,5560.4,5651.9,5761.9,5833.7,5977,6185.2,6310.6,6413.8,6510.1,6598.9,6714,6787.5,6931.6,7264.2,7434.2,7570.3,7681.8,7821.7,8062.8,8203.1,8376.9,8498.3,8605.4,8702.9,8794.7,8907.2,8981.8,9124.3,9308.8,9441.4,9551.9,9648.7,9735.2,9853.9,9926.6,10070,10255,10382,10489,10586,10674,10794,10859,11007,11579,11758,11894,12150,12290,12446,12557,12629,12774,12935,13065,13171,13268,13357,13474,13544,13693,14216,14364,14499,14648,14782,15014,15149,15367,15500,15610,15706,15798,15916,15987,16133,16346,16474,16583,16653,16800
