l,i,l,i,l,i,l,i,l,i,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1639.2,1794,1992.4,2180.8,2421.5,2593,2820.5,2954.9,3149.8,3255.5,3521.3,3701.2,3819.7,3970.9,4069.3,4142.1,4257.5,4429.8,4549,4655.2,4752.2,4836.3,4941,5014.4,5129.9,5309.4,5424.3,5532.8,5633,5720.2,5822.9,5897.4,6015.3,6215.2,6339.6,6445.6,6543.7,6629.5,6734.3,6808.6,6930.6,7123.3,7244.1,7352.6,7452.8,7540.3,7644.3,7718.4,7839.2,8135.8,8294.9,8396.7,8551.4,8744,8899.6,9027.6,9136.8,9237.6,9322.2,9426.5,9503.1,9622.1,9811.7,9934.8,10045,10145,10232,10338,10413,10534,10867,11031,11133,11280,11470,11643,11769,11880,11955,12074,12270,12392,12501,12602,12689,12794,12871,12992,13418,13596,13699,13941,14041,14242,14348,14526,14626,14702,14821,15017,15142,15253,15354,15443,15549,15625,15752
1675.9,1839.9,2031.9,2233.3,2458.9,2647.6,2859.8,3011.3,3189.5,3327.4,3564,3740.8,3886.4,4027.7,4130.4,4200.5,4337.5,4500.5,4619.4,4719.6,4809.7,4895.5,5004.1,5071.8,5206.8,5382.9,5496.7,5598,5687.7,5775.4,5889,5959.4,6094.9,6288.9,6409.5,6506.3,6600.9,6683.8,6793.8,6861.4,7007.7,7199.3,7313.7,7415.2,7511.2,7595,7708,7782.8,7919.5,8184.2,8339.1,8464.8,8691.4,8821.7,8975.3,9101.2,9203,9294.4,9379.6,9491,9560.6,9697.8,9886.2,10010,10110,10203,10294,10403,10474,10614,10923,11075,11204,11419,11546,11718,11843,11944,12011,12154,12347,12466,12568,12661,12750,12862,12928,13074,13471,13640,13773,13984,14110,14285,14423,14584,14691,14760,14902,15090,15218,15320,15412,15504,15615,15686,15828
