i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1797.8,1976.8,2114.1,2278.3,2387.2,2549.1,2653.3,2731.7,2848.3,2999.6,3120.8,3232.7,3334.2,3421.5,3527.9,3604.7,3723
1846.2,2018.2,2148.2,2318.4,2454.1,2602.6,2718.5,2786.6,2926.5,3075.9,3193.2,3300.4,3392.8,3481.8,3594.6,3664.3,3805.1
