l,l,l,i,l,i,l,i,l,i,l,i,l,i,l,i,l,i,l,l,l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,l,l,i,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1992.8,2155.5,2390.4,2592.5,2759.1,2918.4,3141.2,3306.8,3517.1,3669.7,3855.1,4025.2,4200.6,4352.7,4692.9,4823.5,4990.2,5099.9,5350.9,5479.9,5623.3,5743.9,5985.2,6092.8,6296.9,6411.5,6554.6,6738.1,6908.5,7028.2,7134.7,7213.9,7326.3,7767,7941.6,8059.1,8213.2,8311.1,8385.9,8502.4,8687.1,8801.3,8910.6,8985.7,9100.8,9241.7,9364.9,9470.8,9569.3,9654.7,9758.6,9833.4,9952.6,10223,10362,10465,10611,10804,10979,11093,11201,11273,11392,11561,11676,11785,11882,11967,12071,12146,12266,12528,12634,12922,13028,13235,13339,13483,13669,13821,13935,14043,14118,14236,14585,14798,14907,15107,15219,15482,15593,15734,15843,16010,16179,16347,16466,16578,16679,16763,16867,16942,17063,17234,17361,17470,17571,17658,17764,17840,17965,18476,18639,18750,18931,19040,19292,19458,19599,19731,19901,20011,20218,20325,20498,20612,20860,20973,21126,21232,21409,21512,21673,21862,22043,22162,22270,22344,22462,22700,22816,22927,23029,23116,23220,23296,23415
2029.1,2191.6,2428.4,2639.6,2797.8,2971.5,3181.4,3357.2,3560.4,3720.9,3896.5,4079.8,4241.2,4412.8,4735.4,4884.5,5032.8,5171.3,5393.1,5525.4,5664.5,5804.8,6025.8,6158.3,6339.5,6482.6,6684.6,6815.1,6981.1,7097.3,7194.5,7268.2,7402.5,7822.3,7982.9,8126.8,8268.7,8376.4,8447.1,8580.1,8758,8875.6,8977.2,9046.4,9178.8,9318.2,9435.9,9536.1,9626.2,9709,9820.6,9891.2,10029,10275,10408,10537,10754,10881,11051,11164,11264,11331,11468,11635,11748,11847,11939,12028,12141,12204,12344,12573,12707,12965,13094,13276,13404,13617,13746,13895,14007,14109,14179,14316,14635,14838,14974,15150,15290,15522,15665,15779,15908,16124,16256,16420,16541,16641,16735,16820,16933,16999,17139,17312,17435,17535,17628,17718,17830,17900,18041,18522,18684,18812,18972,19109,19333,19499,19640,19788,19944,20080,20260,20393,20542,20678,20904,21043,21173,21305,21457,21583,21805,21937,22117,22233,22331,22407,22541,22770,22890,22991,23085,23170,23283,23355,23494
