l,l,l,i,l,i,l,i,l,i,i,l,i,w,r,n,n,a,b,r,i,f,a,b,r,n,n,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1977.9,2194.3,2313.3,2462.7,2681.2,2794.7,3078.7,3220.2,3400.7,3522.8,3825,3992.5,4097.4,4251.1,4452.7,4651.1,4769.2,4878.4,4956.4,5072.1,5354.7,5515.6,5618.5,5693.5,5811.3,5983.6,6103.8,6214.5,6290.3,6411.4,6580.3,6696.8,6803.9,6883.6,7001.2,7177.6,7301.2,7411.2,7514.8,7602.9,7709.5,7786,7906.7,8251.8,8413.4,8520.2,8672,8865.4,9045.1,9166.1,9279.1,9355.6,9475.1,9620,9735.5,9814.2,9933.9,10323,10473,10582,10736,10925,11121,11243,11353,11456,11543,11646,11725,11845
2014.6,2235.4,2359.1,2517.2,2726.2,2862.2,3125.7,3285,3445.7,3590.6,3881.8,4034.9,4165.2,4402.3,4529.3,4721.9,4839.8,4945.5,5019.6,5153.1,5416.6,5576.5,5685.9,5753,5889.8,6057.4,6175.5,6281.8,6353.8,6491.2,6651,6771.8,6876.5,6944.7,7083.9,7253.9,7371,7480.9,7572.7,7665.1,7776.4,7847,7986,8315.8,8460.4,8594.8,8815.4,8945.1,9118.5,9244.6,9350.4,9419.5,9561.8,9696.3,9804.5,9873.4,10021,10384,10524,10658,10868,11004,11195,11316,11420,11514,11603,11719,11779,11928
