l,l,i,l,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,l,i,f,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,f,a,b,r,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i
1985.8,2638.4,2795.1,2972.1,3105.5,3240.4,3428.3,3536.2,3782.1,3900,4059.9,4162.6,4237.5,4354.4,4533.8,4650.1,4760.9,4849,4962.2,5195.8,5300.7,5458.5,5561.2,5637.5,5755.7,6210.1,6349.2,6452.2,6704.8,6810.5,7008.8,7117.1,7258.6,7448.9,7648.6,7769.2,7876.5,7951.6,8067.6,8255.1,8375.6,8484.2,8585,8670.3,8774.3,8849.9,8971.5,9260.3,9410.4,9513.6,9660.4,9849.4,10051,10165,10279,10381,10469,10574,10650,10770,10974,11077,11239,11341,11419,11534,11915,12018,12172,12367,12574,12695,12804,12908,12996,13102,13177,13300,13708,13842,13947
2038.3,2681.4,2846.3,3012.4,3147.2,3304.2,3468.7,3608.2,3824.7,3969,4117.3,4224.3,4296.4,4434.9,4606.4,4721.8,4824.5,4897.2,5036.7,5238,5364.3,5516.5,5626.8,5697,5838.7,6265.8,6388,6518.5,6747.2,6885.1,7045.2,7188.4,7395.2,7528.7,7720.1,7842.2,7943.2,8014,8145.9,8328.2,8445.2,8551.4,8644.7,8731.4,8846.2,8916.1,9050.3,9324,9459.8,9587.8,9796.2,9930.3,10125,10239,10346,10442,10530,10642,10712,10851,11024,11156,11299,11410,11478,11617,11962,12094,12312,12446,12652,12767,12874,12970,13055,13170,13244,13381,13769,13890,14022
