l,i,l,l,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1656.1,1818.5,1985.5,2111.3,2233.6,2417.3,2524.1,2678.1,2846.7,2997.8,3112.5,3218,3293.7,3409.9,3580,3698.8,3806.5,3882,3999.8,4170.3,4291.3,4399.2,4498.6,4583.4,4686.1,4762,4876,5111.3,5271.8,5376.1,5548,5710.1,5894.4,6007.9,6115.4,6192.1,6306.9,6465.4,6585.5,6695.8,6795.8,6879.4,6986.2,7063.4,7179.2,7430.4,7634.8,7742.8,7904.8,8007.3,8081.8,8200.8,8366.8,8487.3,8596.5,8697.5,8784.1,8887.7,8966.1,9084.2,9529.8,9709.5,9813.8,9979.4,10083,10156,10277,10447,10569,10679,10780,10867,10971,11048,11165
1688.7,1860,2022.9,2149.5,2286.5,2458.4,2594.5,2789.1,2916.4,3068.1,3180.9,3281.3,3345.2,3484,3651.9,3771.1,3869.1,3937.6,4074.8,4246.2,4363.9,4462.5,4552.5,4636.8,4748.8,4820.9,4952.7,5162.2,5313.8,5441.2,5654.5,5785.2,5967.7,6081.1,6178.2,6243.4,6385.6,6540.6,6659.8,6760.1,6852.4,6940.5,7050.3,7117,7256.3,7483.6,7677,7808,7961.9,8069.6,8139.9,8279.6,8442.9,8560.8,8661.5,8753.2,8839.3,8951.1,9020.9,9161.2,9579.8,9752.4,9884.9,10038,10148,10218,10357,10521,10644,10745,10837,10925,11038,11106,11246
