l,l,l,i,l,l,i,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1977.1,2118.4,2249.8,2425.7,2671.8,2808.3,2940.2,3372.7,3532.6,3677.2,3893.2,4011.4,4226.5,4342.6,4532.7,4636.2,4861.4,4965.2,5126.3,5322.5,5494.8,5612.5,5718.5,5791.9,5909.7,6094.2,6209.1,6318.3,6417.9,6502,6606.6,6681.8,6795.5,7132.9,7296.1,7404.4,7549.8,7738.7,7929.9,8048,8157.6,8257.2,8344,8449.9,8524,8644,8947.7,9099.4,9205.1,9360.7,9461.6,9537.5,9653.8,9793.3,9914.6,10024,10127,10211,10318,10394,10512,10687,10809,10919,11019,11105,11212,11286,11406,11623,11727,11888,12072,12260,12378,12490,12565,12686,12928,13054,13162,13263,13349,13459,13535,13654
2016,2154.7,2289.9,2472.2,2710,2853.3,2991.8,3419.5,3573,3730,3935.1,4073.1,4270.5,4403.1,4574.5,4698.5,4901.8,5029.9,5268.7,5401.3,5566.6,5679.7,5778.2,5848.9,5988.7,6165,6280.1,6381.6,6473.9,6558.2,6669.8,6739.6,6872.9,7185.5,7335.6,7477.3,7684.3,7815.8,8001.3,8120.9,8221.1,8315.3,8398.6,8512,8582,8722.5,9000.2,9141.6,9272.5,9416.8,9523.5,9589.8,9730.8,9866,9987.3,10090,10184,10266,10382,10447,10592,10763,10883,10985,11076,11163,11276,11343,11483,11666,11794,12014,12151,12335,12451,12555,12624,12765,13002,13126,13228,13321,13411,13522,13592,13732
