l,l,i,l,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,i,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r
1998.9,2999,3176,3396.9,3551.1,3686.5,3832,3952.5,4112.3,4212.2,4287.7,4406.9,4585.8,4708.1,4817.8,4919.6,5006.5,5112.5,5188.1,5307.4,5509.6,5688.6,5794.7,5955.7,6130.3,6325.6,6446.8,6556.1,6657.2,6743.6,6853.4,6928.3,7048.2,7259.4,7382.6,7492.7,7594.5,7680.7,7787.1,7865.2,7983.4,8300.2,8457.6,8564.8,8714,8907,9124.3,9249.1,9359.5,9461.4,9547.7,9652.1,9727.3,9845.9,10132,10287,10389,10542,10732,10920,11035,11146,11250,11338,11445,11520,11641,12320,12439,12607,12709,12860,13047,13240,13355,13465,13541,13660,13841,13960,14070,14172,14258,14364,14441,14561,14860,15060,15167,15335,15437,15514,15636,15906,16066,16173,16337,16440,16590,16695,16892,16997,17149,17340,17535,17656,17769,17871,17958,18066,18144,18266
2037.3,3035.2,3223.7,3438,3593.8,3749.2,3877.6,4015.1,4162.9,4274.6,4345.6,4483.4,4658.5,4781.1,4885.3,4975.9,5060,5174.9,5244.7,5385.2,5570,5732.2,5862.8,6075,6205.3,6401.7,6520.3,6621.2,6714.8,6801.1,6919.2,6990.2,7128.1,7333.1,7451.3,7557.8,7649.3,7738.2,7851.7,7926.2,8062.7,8361,8505.9,8637.2,8855.1,8984.1,9198.5,9321.6,9427.5,9519.8,9605.4,9718.8,9786.3,9922.9,10186,10330,10465,10677,10810,10992,11110,11215,11306,11400,11510,11579,11723,12362,12503,12650,12780,12997,13126,13314,13429,13531,13603,13739,13917,14034,14136,14229,14317,14432,14504,14640,14915,15107,15242,15396,15503,15576,15714,15959,16110,16250,16387,16512,16637,16763,16937,17076,17286,17421,17611,17731,17833,17930,18020,18132,18200,18344
